Uqcrc1	CIII_mitoMap
Uqcr11	CIII_mitoMap
Uqcr10	CIII_mitoMap
Ttc19	CIII_mitoMap
mt-Co1	CIV_mitoMap
mt-Co2	CIV_mitoMap
mt-Co3	CIV_mitoMap
Cox4i1	CIV_mitoMap
Cox4i2	CIV_mitoMap
Cox5a	CIV_mitoMap
Cox5b	CIV_mitoMap
Cox6a1	CIV_mitoMap
Cox6a2	CIV_mitoMap
Cox6b1	CIV_mitoMap
Cox6b2	CIV_mitoMap
Cox6c	CIV_mitoMap
Cox7a1	CIV_mitoMap
Cox7a2	CIV_mitoMap
Cox7a2l	CIV_mitoMap
Cox7b	CIV_mitoMap
Cox7c	CIV_mitoMap
Cox8a	CIV_mitoMap
Cox8c	CIV_mitoMap
MT-CO1	CIV_mitoMap
MT-CO2	CIV_mitoMap
MT-CO3	CIV_mitoMap
COX4I1	CIV_mitoMap
COX4I2	CIV_mitoMap
COX5A	CIV_mitoMap
COX5B	CIV_mitoMap
COX6A1	CIV_mitoMap
COX6A2	CIV_mitoMap
COX6B1	CIV_mitoMap
COX6B2	CIV_mitoMap
COX6C	CIV_mitoMap
COX7A1	CIV_mitoMap
COX7A2	CIV_mitoMap
COX7A2L	CIV_mitoMap
COX7B	CIV_mitoMap
COX7C	CIV_mitoMap
COX8A	CIV_mitoMap
COX8C	CIV_mitoMap
Atp5a1	CV_mitoMap
Atp5b	CV_mitoMap
Atp5c1	CV_mitoMap
Atp5d	CV_mitoMap
Atp5e	CV_mitoMap
Atp5pb	CV_mitoMap
Atp5h	CV_mitoMap
Atp5k	CV_mitoMap
Atp5j	CV_mitoMap
Atp5j2	CV_mitoMap
Atp5l	CV_mitoMap
Atp5o	CV_mitoMap
mt-Atp6	CV_mitoMap
mt-Atp8	CV_mitoMap
Atp5g1	CV_mitoMap
Atp5g2	CV_mitoMap
Atp5g3	CV_mitoMap
ATP5A1	CV_mitoMap
ATP5B	CV_mitoMap
ATP5C1	CV_mitoMap
ATP5D	CV_mitoMap
ATP5E	CV_mitoMap
ATP5F1	CV_mitoMap
ATP5H	CV_mitoMap
ATP5I	CV_mitoMap
ATP5J	CV_mitoMap
ATP5J2	CV_mitoMap
ATP5L	CV_mitoMap
ATP5L2	CV_mitoMap
ATP5O	CV_mitoMap
MT-ATP6	CV_mitoMap
MT-ATP8	CV_mitoMap
ATP5G1	CV_mitoMap
ATP5G2	CV_mitoMap
ATP5G3	CV_mitoMap
Pck2	PEPCKm
PCK2	PEPCKm
Pcx	PCm
PC	PCm
Me3	ME2m
ME3	ME2m
Me2	ME1m
ME2	ME1m
Gpt2	r0081
GPT2	r0081
Acly	ACITLm_mitoMap	ACITL
ACLY	ACITLm_mitoMap	ACITL
Nme4	NDPK1m	NDPK3m
NME4	NDPK1m	NDPK3m
Nnt	NNT_mitoMap
NNT	NNT_mitoMap
Ak2	ADK1m
Ak3	ADK1m
AK2	ADK1m
AK3	ADK1m
Me1	ME2
ME1	ME2
Gpt	ALATA_L
GPT	ALATA_L
Gm20390	NDPK1
Nme3	NDPK1
Nme6	NDPK1
Nme7	NDPK1
Cmpk1	NDPK1
Ak1	NDPK1	ADK1
Ak4	NDPK1
Ak5	NDPK1
Ak7	NDPK1
Ak8	NDPK1
Ak9	NDPK1
NME2	NDPK1
NME3	NDPK1
NME6	NDPK1
NME7	NDPK1
CMPK1	NDPK1
AK1	NDPK1	ADK1
AK4	NDPK1
AK5	NDPK1
AK7	NDPK1
AK8	NDPK1
AK9	NDPK1
Idh1	ICDHy
IDH1	ICDHy
Aco1	ACONT
ACO1	ACONT
Got1	ASPTA	3SALATAi	CYSTA	TYRTA
GOT1	ASPTA	3SALATAi	CYSTA	TYRTA
Mdh1	MDH
MDH1	MDH
Slc25a11	AKGMALtm
SLC25A11	AKGMALtm
Slc25a12	ASPGLUmB_mitoMap
Slc25a13	ASPGLUmB_mitoMap
SLC25A12	ASPGLUmB_mitoMap
SLC25A13	ASPGLUmB_mitoMap
Got2	ASPTAm	CYSTAm
GOT2	ASPTAm	CYSTAm
Gpd1	G3PD1
Gpd1l	G3PD1
GPD1	G3PD1
GPD1L	G3PD1
Gpd2	r0205
GPD2	r0205
Acsl1	FACOAL160i
Acsl3	FACOAL160i
Acsl4	FACOAL160i
Acsbg1	FACOAL160i
Acsl6	FACOAL160i
Acsl5	FACOAL160i
Acsbg2	FACOAL160i
ACSL1	FACOAL160i
ACSL3	FACOAL160i
ACSL4	FACOAL160i
ACSBG1	FACOAL160i
ACSL6	FACOAL160i
ACSL5	FACOAL160i
ACSBG2	FACOAL160i
Cpt1b	C160CPT1
CPT1B	C160CPT1
Ppa1	PPA
PPA1	PPA
Slc25a20	r2435
SLC25A20	r2435
Cpt2	C160CPT2
CPT2	C160CPT2
Ppa2	PPAm
PPA2	PPAm
Acot2	ACOT2_mitoMap	RE2649M
ACOT2	ACOT2_mitoMap	RE2649M
Acadl	ACADLC16_mitoMap	ACADLC14_mitoMap
Etfdh	ACADLC16_mitoMap	ACADLC14_mitoMap	r1447_mitoMap	r1451	r1448	r1450	r1446
ACADL	ACADLC16_mitoMap	ACADLC14_mitoMap
ETFDH	ACADLC16_mitoMap	ACADLC14_mitoMap	r1447_mitoMap	r1451	r1448	r1450	r1446
Mecr	MECR16C_mitoMap	MECR14C_mitoMap	r0638	r0735	r0633	r0791
MECR	MECR16C_mitoMap	MECR14C_mitoMap	r0638	r0735	r0633	r0791
Hadha	MTPC16_mitoMap	MTPC14_mitoMap
Hadhb	MTPC16_mitoMap	MTPC14_mitoMap
HADHA	MTPC16_mitoMap	MTPC14_mitoMap
HADHB	MTPC16_mitoMap	MTPC14_mitoMap
Acadm	r1447_mitoMap	r1451	r1448	r1450
ACADM	r1447_mitoMap	r1451	r1448	r1450
Echs1	r0660	r0728	r0731	r0734	ECOAH1m	ECOAH9m	ECOAH12m
ECHS1	r0660	r0728	r0731	r0734	ECOAH1m	ECOAH9m	ECOAH12m
Hadh	r0722	r0726	r0730	r0733	HACD1m	HACD9m	HIBDm
HADH	r0722	r0726	r0730	r0733	HACD1m	HACD9m	HIBDm
Acaa2	r0724	r0634	r0732	r0287	ACACT10m
ACAA2	r0724	r0634	r0732	r0287	ACACT10m
Acads	r1446	r0603	r0560
ACADS	r1446	r0603	r0560
Acat1	ACACT1rm
ACAT1	ACACT1rm
Acaca	ACCOAC
Acacb	ACCOAC
ACACA	ACCOAC
ACACB	ACCOAC
Fasn	MCOATA	ACOATA	r0678	r0691	r0681	r0682	r0760	r0762	r0763	r0764	r0695	r0766	r0692	r0693	r0767	r0768	r0769	r0770	r0712	r0713	r0771	r0772	r0697	r0773	FA160ACPH
FASN	MCOATA	ACOATA	r0678	r0691	r0681	r0682	r0760	r0762	r0763	r0764	r0695	r0766	r0692	r0693	r0767	r0768	r0769	r0770	r0712	r0713	r0771	r0772	r0697	r0773	FA160ACPH
Fasn of FASN	r0761	r0694	r0765	r0701	r0702	r0696
Acsm3	FACOAL40im
ACSM3	FACOAL40im
ACSM6	FACOAL40im
Bdh1	BDHm
