	log2FoldChange	scaled_expression	discretization
MXAN_2470	-1.07056895379165	0.20050945425971667	-1
MXAN_2661	0.68820343264184	0.4421134158387669	0
MXAN_4450	-2.17917675678133	0.04821911862231281	-1
MXAN_5759	-0.37332749566494	0.29629006791954854	-1
MXAN_6322	0.340652452020213	0.3943700612031248	0
MXAN_3154	0.886688451588344	0.4693794607582081	1
MXAN_5760	-0.173060499190412	0.3238009045093254	0
MXAN_4016	-1.00744062085197	0.20918144356530083	-1
MXAN_2372	-0.262398454071349	0.31152847859162347	-1
MXAN_4638	-0.10651294552715	0.33294259488521455	0
MXAN_0966	1.93921691587778	0.6139661330351771	1
MXAN_0967	1.83298516520457	0.5993729929528655	1
MXAN_0121	-2.0274867821614	0.06905689108377314	-1
MXAN_5794	-0.517046877995672	0.2765472220603342	-1
MXAN_6281	-1.21765585135553	0.1803040101545427	-1
MXAN_5984	0.430034802065714	0.40664858571989293	0
MXAN_3415	1.26654751601474	0.5215610025626225	1
MXAN_3421	2.65252490013204	0.7119538181677997	1
MXAN_0979	1.72317711279479	0.5842885734565589	1
MXAN_4270	1.13718295354138	0.5037900897244443	1
MXAN_4038	-0.0726923731313331	0.33758855381470987	0
MXAN_4228	0.0959848691112661	0.36075988074046506	0
MXAN_5373	1.55065151412209	0.5605885947471776	1
MXAN_6878	1.05376825275832	0.49233134593327865	1
MXAN_4629	0.591460022648339	0.42882369666225995	0
MXAN_4215	0.288266078592569	0.38717370341941854	0
MXAN_5352	-0.210267433251952	0.31868975838443797	-1
MXAN_4626	-0.755685006869509	0.2437653124940554	-1
MXAN_1072	1.08468580284845	0.496578514379698	1
MXAN_5224	1.51818768576086	0.5561290128248114	1
MXAN_5222	0.716470666499083	0.44599650823632303	0
MXAN_3539	2.34224660390231	0.6693306418322211	1
MXAN_3540	2.09932784374255	0.6359606985415583	1
MXAN_3288	-1.31919109258446	0.1663560333100008	-1
MXAN_0955	-0.165510739436117	0.324838021011539	0
MXAN_3969	-0.342212697573665	0.30056433248076814	-1
MXAN_1946	-0.465828756895808	0.2835830960925938	-1
MXAN_3330	-0.443672573619528	0.2866267086113665	-1
MXAN_6017	-0.615919744827355	0.2629649777042844	-1
MXAN_0147	0.415410465516795	0.40463962897657657	0
MXAN_5578	-0.0118592730655445	0.34594524515487435	0
MXAN_2556	0.0067706948888606	0.34850445867027563	0
MXAN_0894	-0.376319658170593	0.29587903217630496	-1
MXAN_4644	-0.289596794952551	0.30779222087233943	-1
MXAN_4725	0.0908362390754904	0.36005260933744354	0
MXAN_3410	-0.0138628214242404	0.345670016123301	0
MXAN_5420	0.748144571956155	0.45034757782107293	0
MXAN_2064	-0.587382358847679	0.26688518111376686	-1
MXAN_6303	0.350154454831318	0.39567535888678557	0
MXAN_2603	0.959771064214244	0.4794188773815099	1
MXAN_7094	1.52409392917958	0.5569403581808222	1
MXAN_5874	-0.614844365318878	0.2631127034426762	-1
MXAN_6186	-0.811802260103601	0.2360564407839502	-1
MXAN_6166	0.44053947994639	0.4080916216753469	0
MXAN_5923	-0.407261447418817	0.29162853397745925	-1
MXAN_0862	2.05628521085724	0.6300478978277766	1
MXAN_2473	-0.952829240432975	0.21668345232908734	-1
MXAN_5577	0.0059223675713254	0.3483879232719414	0
MXAN_1070	-1.59079203639403	0.1290459956387432	-1
MXAN_3130	-0.0305913023912974	0.3433720113877157	0
MXAN_2280	1.68483599585751	0.5790216237279491	1
MXAN_5910	-0.754727665851853	0.2438968231910802	-1
MXAN_5087	0.973944114172139	0.48136584052688264	1
MXAN_5926	0.465485241447816	0.4115184407736229	0
MXAN_3039	0.255376561873593	0.38265564434877397	0
MXAN_2041	0.554039742436874	0.42368324300707066	0
MXAN_4171	1.51868788810115	0.5561977260181373	1
MXAN_2813	0.110839513211646	0.36280047501530266	0
MXAN_6530	0.0633565938497167	0.3562777086166078	0
MXAN_3143	-0.481313485546567	0.28145594660192746	-1
MXAN_2005	0.331433336746137	0.39310362400542265	0
MXAN_0059	0.827689511363748	0.4612747294142429	1
MXAN_0881	-0.243847761499264	0.31407680198470306	-1
MXAN_6577	0.532158943815749	0.4206774602974061	0
MXAN_5414	0.871654728418764	0.46731426624920236	1
MXAN_6065	0.598905228507121	0.4298464505126891	0
MXAN_6066	0.582142240878366	0.4275437055695412	0
MXAN_5831	-0.161248670120251	0.3254235048633329	0
MXAN_4711	-0.0443109434899423	0.34148733337796083	0
MXAN_1912	0.140778517279682	0.36691321981637204	0
MXAN_1095	0.600780628838872	0.43010407574787746	0
MXAN_4219	1.17330501247379	0.5087522056899785	1
MXAN_2278	0.725415692732094	0.44722529360445495	0
MXAN_3466	0.30709070535734	0.3897596573704233	0
MXAN_4877	-0.0790807546651604	0.336710976762354	0
MXAN_0971	0.570358638801108	0.42592498277999946	0
MXAN_0917	0.0286534676901031	0.35151051257463306	0
MXAN_1295	-0.0122183166931369	0.3458959230461836	0
MXAN_7353	-2.12514658865856	0.05564128579069471	-1
MXAN_7242	-0.867284630961944	0.22843478337076073	-1
MXAN_0215	-1.19141567323327	0.18390864429354797	-1
MXAN_6401	0.617413285346945	0.4323889170013172	0
MXAN_4768	-0.249186993876233	0.31334334738647457	-1
MXAN_6395	3.19648145028022	0.7866775621021564	1
MXAN_5868	-0.0034127615517042	0.3471055491595359	0
MXAN_6400	4.74937657140862	1.0	1
MXAN_2476	-0.920382592434372	0.22114067417137484	-1
MXAN_6396	3.39560016749619	0.8140306586568915	1
MXAN_1814	0.830365896890478	0.46164238662273593	1
MXAN_2097	0.485830585319735	0.4143132968431519	0
MXAN_3465	-0.034826743006925	0.342790185541653	0
MXAN_6988	1.23866531727354	0.5177308027451983	1
MXAN_3791	0.323366448516455	0.3919954691532426	0
MXAN_5372	3.9293144335979	0.8873474118854962	1
MXAN_2963	2.00793029359551	0.6234053443840352	1
MXAN_5883	0.562218335661636	0.42480674286327036	0
MXAN_5135	2.45720792874247	0.6851229704609882	1
MXAN_0529	0.822665677294614	0.46058460133241647	1
MXAN_6463	-0.275551114109015	0.3097216872211685	-1
MXAN_1571	3.60882138476572	0.8433210268605281	1
MXAN_0992	-0.58915712916373	0.2666413795038721	-1
MXAN_0301	1.58869404485115	0.5658145274508811	1
MXAN_2841	-0.193091883436075	0.3210491773233657	-1
MXAN_2844	1.29270853546445	0.5251547626118201	1
MXAN_2326	0.0749669362561376	0.3578726305873632	0
MXAN_3683	-0.401142200004789	0.2924691398617202	-1
MXAN_3684	-0.0025394336986892	0.3472255189013134	0
MXAN_0781	2.03666014991944	0.6273519875977907	1
MXAN_6035	1.20174905557779	0.5126595865143883	1
MXAN_3949	-1.61796182656714	0.12531365995293775	-1
MXAN_3894	-0.0597940775907083	0.3393604029318953	0
MXAN_6392	2.43626288524281	0.6822457331766202	1
MXAN_4769	0.178844888937495	0.3721424275674206	0
MXAN_6637	0.0894672799136902	0.35986455432857367	0
MXAN_2592	-0.71417830011312	0.2494671218138953	-1
MXAN_5810	-0.433622786937116	0.28800725580111336	-1
MXAN_5768	-0.379653787752779	0.2954210201437715	-1
MXAN_5767	-0.278512514830747	0.30931487724864876	-1
MXAN_4152	0.0176812857999712	0.35000325522156683	0
MXAN_5840	0.657810839224189	0.43793836110797474	0
MXAN_3520	-0.259516181390323	0.31192441868225634	-1
MXAN_6501	0.808428919752137	0.4586288866254794	0
MXAN_3487	-1.27989644146421	0.17175397078772686	-1
MXAN_4064	-0.0540545275106934	0.34014884949138724	0
MXAN_3795	0.372867688124919	0.3987954938094922	0
MXAN_5921	4.16244495949234	0.919372737649976	1
MXAN_3797	0.993689171527524	0.4840782347601923	1
MXAN_6432	0.298329135691042	0.38855607357677435	0
MXAN_4304	0.194522698414929	0.3742961007248158	0
MXAN_3760	-0.752970205439149	0.2441382469257845	-1
MXAN_5616	0.0385168527855447	0.35286545363012173	0
MXAN_5895	-0.147412103729623	0.32732424499344503	0
MXAN_3048	-0.0103434969878863	0.3461534685202478	0
MXAN_0422	2.13060744825251	0.6402576026915929	1
MXAN_2969	2.90517751506046	0.746660908829938	1
MXAN_3978	-0.421928472670056	0.2896137130531525	-1
MXAN_7311	0.161623692626454	0.36977673813314693	0
MXAN_4671	2.90469091237488	0.7465940638319962	1
MXAN_0797	0.868815184624693	0.46692419585975536	1
MXAN_5054	1.40957663580427	0.5412090265075458	1
MXAN_1010	-0.816642416356344	0.23539154466985115	-1
MXAN_1364	-1.89083368682498	0.08782903547834701	-1
MXAN_3204	0.832250093912115	0.46190122026621044	1
MXAN_1442	2.69825590432608	0.7182359225864808	1
MXAN_0988	1.60646752426365	0.5682560844540654	1
MXAN_6203	1.79946080813262	0.594767725358007	1
MXAN_6385	-0.15776549714003	0.3259019911059973	0
MXAN_2656	-0.806848635203615	0.23673692417636924	-1
MXAN_3724	-0.107134868627878	0.3328571608142157	0
MXAN_3514	-0.330860753439071	0.3021237580754033	-1
MXAN_6299	0.450401510529105	0.409446376660345	0
MXAN_5570	0.7002349061307	0.4437661889212671	0
MXAN_3021	-0.426718406969008	0.2889557159687901	-1
MXAN_4230	-0.27182187294448	0.3102339760460246	-1
MXAN_2815	1.15726893019479	0.5065493163128768	1
MXAN_5956	-0.428863270884711	0.28866107430675414	-1
MXAN_5069	0.826503355660415	0.46111178626185695	1
MXAN_1914	-1.0997531949148	0.19650039184469342	-1
MXAN_3877	0.860528347616932	0.46578582646899247	1
MXAN_6533	-0.805523687427272	0.23691893330621405	-1
MXAN_1111	-0.174238328888376	0.3236391051069192	0
MXAN_1113	0.0426756893067676	0.35343675631080834	0
MXAN_1101	0.25607932457962	0.38275218342064926	0
MXAN_3028	-0.149855044756406	0.3269886562415818	0
MXAN_4770	-0.511579337294957	0.2772983024750467	-1
MXAN_2657	-0.468725648767919	0.28318514775205417	-1
MXAN_2712	0.0157710831003484	0.34974084915742354	0
MXAN_2034	0.287974010696192	0.38713358182019453	0
MXAN_6608	0.256685279116427	0.3828354238773215	0
MXAN_5549	2.1834316462315	0.6475141047821452	1
MXAN_7157	-0.725300710954328	0.2479392273903338	-1
MXAN_5607	0.632630427829696	0.43447930796725737	0
MXAN_3320	0.954084832681567	0.47863775523327307	1
MXAN_4044	-0.416407265302754	0.2903721657005383	-1
MXAN_3521	-0.719339275437062	0.24875815452881947	-1
MXAN_1524	-0.586960958685875	0.26694306918915806	-1
MXAN_3881	0.4853364478759	0.41424541678947585	0
MXAN_5543	3.14694187762963	0.7798722716054214	1
MXAN_5941	0.376981381934836	0.3993605952000221	0
MXAN_4766	-0.357617138348525	0.29844821219947176	-1
MXAN_5107	2.13496630093852	0.640856381751921	1
MXAN_3828	0.048861985713229	0.35428657276848774	0
MXAN_4223	-1.29670780456968	0.1694445804668668	-1
MXAN_2787	-0.700653287491037	0.2513250635550255	-1
MXAN_4613	0.519171332755782	0.41889334183629073	0
MXAN_7323	0.197218282506486	0.37466639525542883	0
MXAN_5629	0.276788270271973	0.3855969877614451	0
MXAN_2314	0.829231458686277	0.4614865479443397	1
MXAN_6791	1.83018017322261	0.5989876689733291	1
MXAN_2282	2.31623297366926	0.6657571287569434	1
MXAN_4266	-1.16396588824218	0.1876794430901956	-1
MXAN_2881	-1.30350161328212	0.16851130956052499	-1
MXAN_2663	-0.347774987272267	0.29980023632085645	-1
MXAN_4028	-1.18646500457873	0.18458872158417886	-1
MXAN_7243	-0.228039766354234	0.31624835885080016	-1
MXAN_5479	1.39162186439142	0.5387425652780814	1
MXAN_6517	0.714720030857575	0.44575602202586595	0
MXAN_4633	-1.03629640802035	0.20521750113128298	-1
MXAN_2955	-0.496989523015421	0.27930251686676033	-1
MXAN_4710	0.0549892483156204	0.35512827970554905	0
MXAN_4709	0.271414281267908	0.3848587586177085	0
MXAN_6661	-0.324101447161941	0.30305228935476486	-1
MXAN_1151	-0.354832023774053	0.2988308056037317	-1
MXAN_1706	0.363767706438929	0.39754542208753935	0
MXAN_1262	-0.359674805165828	0.29816554887219593	-1
MXAN_6664	-1.01629254597674	0.2079654475704567	-1
MXAN_1763	1.51022575496886	0.5550352760593246	1
MXAN_6245	-1.14849460769527	0.18980474520414012	-1
MXAN_6662	0.0882757909434471	0.3597008785410704	0
MXAN_6663	0.671374830803005	0.43980165741939353	0
MXAN_5999	1.24267693598443	0.5182818819981886	1
MXAN_6665	0.361057521822396	0.3971731218711977	0
MXAN_4455	0.577058567276447	0.42684535728350226	0
MXAN_6070	0.455880472482731	0.4101990260216539	0
MXAN_0467	-0.374917872093802	0.29607159664459626	-1
MXAN_5935	0.432255397749571	0.40695363071515417	0
MXAN_6386	0.222987668845227	0.37820635635268385	0
MXAN_0625	0.812486199712668	0.45918623840064987	0
MXAN_6986	0.732106548155345	0.4481444217355761	0
MXAN_7391	0.765485033768032	0.4527296508520553	0
MXAN_5040	-1.26688588856764	0.1735412407871834	-1
MXAN_0626	1.02673167358865	0.4886173095489662	1
MXAN_0925	0.0679129202053387	0.35690361479199284	0
MXAN_5363	-1.69784070538166	0.1143406348378367	-1
MXAN_6541	1.86305386053917	0.6035035535463737	1
MXAN_6072	0.345466615856169	0.3950313867182565	0
MXAN_6071	-0.0791142052216635	0.33670638163280203	0
MXAN_2319	1.11967705516879	0.5013852905415355	1
MXAN_1043	-0.0785944718522402	0.33677777781913404	0
MXAN_7451	0.233099314686413	0.3795954011842717	0
MXAN_1264	1.6868799037558	0.5793023969815767	1
MXAN_1354	-0.217514196381715	0.31769426476952733	-1
MXAN_6456	-0.245509192698243	0.3138485698594658	-1
MXAN_3856	0.0285624243554024	0.3514980058793331	0
MXAN_3442	1.5106062516092	0.5550875451854392	1
MXAN_1610	-1.1274109244841	0.1927010275359466	-1
MXAN_4229	-0.256303985769384	0.31236568054955205	-1
MXAN_4550	-0.114784829186006	0.331806279647884	0
MXAN_4231	-0.291734714593594	0.30749853315083664	-1
MXAN_6200	2.12255044468143	0.6391508057028268	1
MXAN_1383	0.417442442255169	0.40491876323727716	0
MXAN_6181	0.597099946046502	0.429598457425227	0
MXAN_3775	0.590496424738556	0.4286913264509872	0
MXAN_4401	2.6107697117567	0.7062178747303326	1
MXAN_0916	0.273972397117134	0.385210169026536	0
MXAN_4213	0.963559481344862	0.4799392952558929	1
MXAN_3454	-1.2540618269191	0.1753028923355706	-1
MXAN_6743	1.59042861537187	0.5660528067829179	1
MXAN_4217	0.617916863923552	0.4324580939909113	0
MXAN_1185	1.78697537974797	0.5930525921304153	1
MXAN_6507	1.30331111101904	0.5266112468486034	1
MXAN_4521	0.338520414993046	0.39407718158096894	0
MXAN_3428	1.76876060954806	0.5905504146607802	1
MXAN_2786	0.183673385777968	0.3728057220187827	0
MXAN_3963	-0.636867154590264	0.2600874153644518	-1
MXAN_0970	-0.292378742991492	0.30741006245758384	-1
MXAN_1955	1.66845297048959	0.5767710745027783	1
MXAN_1966	-0.293428719577467	0.3072658263388606	-1
MXAN_0407	0.776049708527027	0.4541809286264031	0
MXAN_7463	0.870027373526707	0.4670907152133499	1
MXAN_7058	-0.725410374886281	0.2479241627687793	-1
MXAN_0341	0.0377818312209204	0.35276448313318354	0
MXAN_5593	-0.329280231675861	0.30234087560709705	-1
MXAN_3032	-0.722699583784382	0.24829654629849807	-1
MXAN_2226	-0.146702214821328	0.32742176299739373	0
MXAN_1094	-0.653561808626131	0.2577940574613087	-1
MXAN_5928	-0.406421970770518	0.2917438535523211	-1
MXAN_7405	1.66482072924413	0.5762721106339553	1
MXAN_2555	-0.48751339693582	0.2806042598432332	-1
MXAN_6384	-0.440476328623818	0.28706577932858807	-1
MXAN_6442	0.769343285698928	0.45325966198849627	0
MXAN_3511	0.576264556105092	0.4267362833373696	0
MXAN_0202	0.728869924975473	0.4476998042350811	0
MXAN_4930	1.02769620322334	0.48874980775203053	1
MXAN_6060	0.0880563928580038	0.3596707396515729	0
MXAN_4789	-0.909291572429198	0.22266425641082335	-1
MXAN_4791	0.402831994046689	0.4029117143463331	0
MXAN_4790	-0.330993960539429	0.3021054593100797	-1
MXAN_4788	-0.115060792817691	0.3317683703043094	0
MXAN_1124	0.773792004722841	0.45387078605913794	0
MXAN_2833	-0.436960876366803	0.28754869980117925	-1
MXAN_4074	0.408995880439288	0.4037584523225843	0
MXAN_0559	1.24341637124876	0.5183834588085657	1
MXAN_0995	0.0079807170943189	0.34867068038304094	0
MXAN_2430	-0.461366019733504	0.28419614584605574	-1
MXAN_6402	1.47880380537547	0.5507188178519637	1
MXAN_3718	0.787622440295366	0.45577068399389103	0
MXAN_1377	-0.680260297442906	0.25412646481767653	-1
MXAN_4174	0.155630878433813	0.36895350048106773	0
MXAN_0596	0.576753491705444	0.42680344880966914	0
MXAN_2407	0.906252772671874	0.47206702710610293	1
MXAN_3986	-0.444363867122136	0.2865317450730871	-1
MXAN_1060	0.0052847610533096	0.34830033475743577	0
MXAN_3208	-0.497145969230863	0.2792810257257142	-1
MXAN_7226	-0.211272035900242	0.3185517553196231	-1
MXAN_6765	0.673201909156759	0.44005264462603116	0
MXAN_4586	1.26309699796647	0.5210870021539326	1
MXAN_5712	-0.436080826447099	0.2876695929586042	-1
MXAN_5699	0.0205634772076417	0.3503991841476141	0
MXAN_3911	0.473623515008786	0.41263640188553896	0
MXAN_1547	0.629711137853037	0.4340782827812814	0
MXAN_7145	0.69311274529382	0.44278781202243334	0
MXAN_1597	-1.04588613848885	0.20390015222955088	-1
MXAN_6003	1.34171818546962	0.5318872572132752	1
MXAN_4750	1.41750323495107	0.5422979097368301	1
MXAN_7144	-0.316354198628158	0.3041165350476911	-1
MXAN_1790	-1.03026399924918	0.2060461779221066	-1
MXAN_5168	-0.968192074690367	0.2145730475681876	-1
MXAN_0629	1.97089373063247	0.6183176022724547	1
MXAN_6475	-0.374160319791115	0.2961756622069421	-1
MXAN_0622	0.597744964683763	0.42968706414844865	0
MXAN_4102	-0.518221765227236	0.2763858268668776	-1
MXAN_5584	0.0997459732373861	0.3612765466056965	0
MXAN_3908	-0.448295637572287	0.28599163463918253	-1
MXAN_0554	1.04078104941736	0.49054728348084753	1
MXAN_3339	0.672918133809315	0.44001366218084964	0
MXAN_4878	-0.892810183579106	0.22492831790577428	-1
MXAN_0250	0.476322704199791	0.41300719165153055	0
MXAN_6036	1.13964087472736	0.504127736312691	1
MXAN_3050	0.455509521078837	0.4101480681322616	0
MXAN_3538	0.748794253555	0.4504368250990361	0
MXAN_3014	0.437777665279545	0.40771222899792947	0
MXAN_2035	0.886423963336997	0.4693431277967576	1
MXAN_5789	-0.603459285683944	0.26467668088734764	-1
MXAN_2817	0.154704940347451	0.3688263036296914	0
MXAN_3743	0.202728617264062	0.375423354323769	0
MXAN_5021	0.273749209185819	0.3851795095228968	0
MXAN_0040	1.62125153238935	0.5702869754088803	1
MXAN_0968	1.36844705656076	0.5355590234941017	1
MXAN_0912	0.510042875453124	0.4176393583962279	0
MXAN_4100	-0.979035250768801	0.21308351184608015	-1
MXAN_0452	2.97726888166429	0.756564157198792	1
MXAN_2704	-0.100031269940987	0.33383298781574194	0
MXAN_4039	-0.295352742880868	0.30700152172738404	-1
MXAN_2340	1.56234162220811	0.5621944741927817	1
MXAN_3385	-0.750121624063364	0.2445295588150197	-1
MXAN_4222	-0.162323067234286	0.32527591407724693	0
MXAN_4611	0.984250553063398	0.4827816442346893	1
MXAN_2987	0.0902863435100744	0.3599770697462582	0
MXAN_3945	0.0293829584066336	0.35161072329456955	0
MXAN_4267	-1.83086983832375	0.09606631703972147	-1
MXAN_2948	1.52983312279798	0.5577287557728987	1
MXAN_2951	1.69761013832561	0.5807764178388155	1
MXAN_7352	-2.18536021126907	0.04736969256126849	-1
MXAN_4705	0.596252734096055	0.42948207524575677	0
MXAN_5020	0.0496249434015641	0.3543913808729593	0
MXAN_1386	-0.199342415121431	0.3201905368143344	-1
MXAN_0501	0.392402970131162	0.4014790710362437	0
MXAN_4762	0.0895318265015994	0.3598734211446924	0
MXAN_3220	-0.491931365578065	0.2799973599769788	-1
MXAN_3221	-0.255035278205741	0.31253996391664707	-1
MXAN_1425	0.383404935635109	0.40024300388085704	0
MXAN_0395	-0.0835112999735524	0.336102349229468	0
MXAN_5489	-0.556866364576265	0.2710771875179884	-1
MXAN_4767	-1.79919613209599	0.10041735925618242	-1
MXAN_6851	0.984191896514708	0.4827735865379427	1
MXAN_3331	1.00866430120258	0.48613538023425246	1
MXAN_2054	0.443237361961735	0.40846223187357844	0
MXAN_2591	-0.21986724015741	0.31737102527454664	-1
MXAN_4571	-0.126320102964724	0.33022166991422264	0
MXAN_1103	-0.326515237233023	0.3027207050928717	-1
MXAN_4741	0.571771147144169	0.42611902017453634	0
MXAN_4226	-0.109064293449967	0.3325921141918207	0
MXAN_5710	0.744636488516895	0.44986566960883756	0
MXAN_3541	1.17968113961582	0.5096280993467864	1
MXAN_3542	0.795141700411066	0.4568036107364928	0
MXAN_5873	-0.0760034811201754	0.3371337042767645	0
MXAN_4327	-0.694481195779752	0.2521729287024307	-1
MXAN_4345	-0.0997015642495374	0.3338782797488106	0
MXAN_1074	-0.010480575606773	0.34613463792134463	0
MXAN_1296	-0.263314955357739	0.31140257808096494	-1
MXAN_5072	0.0510620332462861	0.35458879504793045	0
MXAN_0136	0.0521338821598323	0.3547360357856885	0
MXAN_4826	1.05613929005221	0.49265705721216513	1
MXAN_5862	0.576834126115926	0.4268145256227703	0
MXAN_1924	-0.642156690235735	0.259360787645756	-1
MXAN_2668	0.584283805178077	0.427837893960704	0
MXAN_3789	0.496856895197389	0.41582798980091523	0
MXAN_4265	-2.1486187634451	0.05241689447147247	-1
MXAN_4264	-2.04191779074829	0.06707449195636578	-1
MXAN_2742	1.05468787945304	0.49245767578376526	1
MXAN_5532	2.43116810699458	0.6815458594364853	1
MXAN_2731	-1.2469195369913	0.17628403438363394	-1
MXAN_5085	0.0940097674234462	0.3604885594506952	0
MXAN_3892	1.17730587060202	0.5093018067531702	1
MXAN_4718	-0.859192371960605	0.22954642342602216	-1
MXAN_3790	0.362399483503049	0.3973574682146097	0
MXAN_3386	0.958337759993433	0.47922198324070625	1
MXAN_1407	-0.0566346819947494	0.3397944116177645	0
