reaction_id	flux_value	classification	y_f	y_r	c_value
rxn08127_c	0.0	low	1.0	0.0	
rxn05386_c	0.0	moderate	0.0	0.0	0.11723386591098567
rxn05516_c	0.0	low	1.0	0.0	
rxn05733_c	0.0	low	1.0	0.0	
rxn00416_c	1.0	high	1.0	0.0	1.1224271777103696
rxn09206_c	0.0	low	1.0	0.0	
rxn01729_c	0.0	low	1.0	0.0	
rxn01134_c	0.0	low	1.0	0.0	
rxn02376_c	1.0	high	1.0	0.0	1.0692722367738767
rxn08017_c	0.0	low	1.0	0.0	
rxn09209_c	0.0	low	1.0	0.0	
rxn12512_c	0.0	moderate	0.0	0.0	0.5354313608234286
rxn08669_c	0.0	low	1.0	0.0	
rxn06672_c	0.0	low	1.0	0.0	
rxn00649_c	0.0	low	1.0	0.0	
rxn01739_c	3.0				
rxn02400_c	0.0	low	1.0	0.0	
rxn01268_c	1.0	moderate	1.0	0.0	0.9422787830552546
rxn00641_c	0.0	high	0.0	0.0	1.0152415368849679
rxn00361_c	1.0	high	1.0	0.0	1.1129406710601508
rxn02679_c	1.0	moderate	1.0	0.0	0.5276378124934911
rxn07434_c	0.0	low	1.0	0.0	
rxn01974_c	0.0	high	0.0	0.0	1.0978216767670341
rxn01640_c	0.0	low	1.0	0.0	
rxn00242_c	0.0	low	1.0	0.0	
rxn12641_c	0.0	moderate	0.0	0.0	0.40293791449304434
rxn08971_c	1.0	high	1.0	0.0	1.0566126502594884
rxn08275_c	1.0	high	1.0	0.0	1.1248687347135538
rxn01635_c	0.0	high	0.0	0.0	1.1513803756174954
rxn03057_c	0.0	low	1.0	0.0	
rxn00060_c	0.0	low	1.0	0.0	
rxn05350_c	0.0	moderate	0.0	0.0	0.6920181288816155
rxn09198_c	0.0	low	1.0	0.0	
rxn08838_c	0.0	low	1.0	0.0	
rxn00148_c	0.0	low	1.0	0.0	
rxn01102_c	0.0	high	0.0	0.0	1.0003788391807555
rxn05569_c	2.0	moderate	1.0	0.0	0.0772462869039078
rxn00100_c	0.0	low	1.0	0.0	
rxn00514_c	1.0	moderate	1.0	0.0	0.4673437517167507
rxn00789_c	0.0	low	1.0	0.0	
rxn05390_c	0.0	moderate	0.0	0.0	0.11723386591098567
rxn05560_c	0.0	moderate	0.0	0.0	0.0772462869039078
rxn05437_c	0.0	low	1.0	0.0	
rxn08976_c	1.0	high	1.0	0.0	1.0566126502594884
rxn00781_c	-4.0	high	0.0	1.0	1.0631619665723653
rxn05319_c	0.0	low	1.0	0.0	
rxn00881_c	0.0	low	1.0	0.0	
rxn05298_c	-2.0	high	0.0	1.0	1.0223984767284808
rxn06578_c	0.0	low	1.0	0.0	
rxn01355_c	0.0	low	1.0	0.0	
rxn10337_c	0.0				
rxn00292_c	0.0	moderate	0.0	0.0	0.35769078894186324
rxn08336_c	0.0	low	1.0	0.0	
rxn05401_c	0.0	low	1.0	0.0	
rxn02264_c	0.0	low	1.0	0.0	
rxn10338_c	0.0				
rxn09202_c	0.0	low	1.0	0.0	
rxn01451_c	-1.0	high	0.0	1.0	1.3645114190594982
rxn03903_c	0.0	moderate	0.0	0.0	0.9056369821224095
rxn00097_c	-1.0	high	0.0	1.0	1.0352504054927616
rxn01217_c	0.0	low	1.0	0.0	
rxn02212_c	3.0	low	0.0	0.0	
rxn00695_c	0.0	low	1.0	0.0	
rxn00250_c	0.0	moderate	0.0	0.0	0.6912990744719477
rxn05324_c	0.0	low	1.0	0.0	
rxn10481_c	1.0	low	0.0	0.0	
rxn03535_c	0.0	moderate	0.0	0.0	0.5336239398573442
rxn00692_c	116.81818	low	0.0	0.0	
rxn01492_c	0.0	low	1.0	0.0	
rxn00802_c	1.0	high	1.0	0.0	1.1974690320114094
rxn08440_c	0.0	moderate	0.0	0.0	0.0561541555000128
rxn02160_c	0.0	low	1.0	0.0	
rxn08802_c	0.0	low	1.0	0.0	
rxn02315_c	0.0	low	1.0	0.0	
rxn01825_c	3.0	low	0.0	0.0	
rxn10230_c	0.0	low	1.0	0.0	
rxn02720_c	1.0	moderate	1.0	0.0	0.5276378124934911
rxn00913_c	2.0	low	0.0	0.0	
rxn01997_c	0.0	moderate	0.0	0.0	0.7405346130392608
rxn08809_c	0.0	low	1.0	0.0	
rxn00460_c	0.0	low	1.0	0.0	
rxn00171_c	0.0	low	1.0	0.0	
rxn05578_c	0.0	low	1.0	0.0	
rxn00178_c	417.27273	high	1.0	0.0	1.0743434530046867
rxn03264_c	0.0	high	0.0	0.0	1.0023686722853544
rxn01362_c	0.0	low	1.0	0.0	
rxn05329_c	0.0	moderate	0.0	0.0	0.11723386591098567
rxn03174_c	0.0	low	1.0	0.0	
