rank,metabolite,centrality
46,5forthf_c,0.0439560439560439
126,clpn_hs_m,0.0399600399600399
127,cmp_m,0.0319680319680319
244,icit_m,0.0389610389610389
268,mal_L_c,0.0239760239760239
270,mal_L_m,0.0249750249750249
298,nh4_e,0.0439560439560439
326,pglyc_hs_m,0.0339660339660339
368,ser_L_m,0.0379620379620379
369,so3_c,0.0209790209790209
371,so3_m,0.0189810189810189
372,so4_c,0.0159840159840159
373,so4_m,0.0159840159840159
374,succ_c,0.0159840159840159
376,succ_m,0.0239760239760239
393,tsul_c,0.0319680319680319
395,tsul_m,0.0209790209790209
