rank,metabolite,centrality
29,3odcoa_m,0.0269730269730269
30,3oddcoa_m,0.0269730269730269
32,3php_c,0.0359640359640359
49,6pgl_c,0.0349650349650349
61,accoa_m,0.0139860139860139
78,am6sa_c,0.0459540459540459
107,btcoa_m,0.0109890109890109
135,coa_m,0.0349650349650349
151,dcacoa_m,0.0099900099900099
158,dhor_S_c,0.0489510489510489
177,g6p_c,0.0179820179820179
180,glc_D_c,0.0089910089910089
200,gthox_c,0.0339660339660339
214,h2o2_c,0.0159840159840159
223,HC01408_m,0.0249750249750249
224,HC01409_m,0.0319680319680319
234,hgentis_c,0.0139860139860139
310,occoa_m,0.0099900099900099
