rank,metabolite,centrality
41,4izp_c,0.0189810189810189
64,adp_m,0.0239760239760239
83,aprut_m,0.0179820179820179
93,asp_L_e,0.0389610389610389
96,atp_m,0.0249750249750249
113,cbp_m,0.0089910089910089
114,cdp_m,0.0249750249750249
139,creat_m,0.0069930069930069
152,dcamp_c,0.0429570429570429
177,g6p_c,0.0449550449550449
201,gthox_m,0.0079920079920079
215,h2o2_m,0.0039960039960039
244,icit_m,0.0139860139860139
285,mthgxl_m,0.0129870129870129
286,n4abutn_m,0.0039960039960039
294,nadp_m,0.0089910089910089
296,nadph_m,0.0149850149850149
299,nh4_m,0.0159840159840159
300,no_c,0.0409590409590409
301,no_e,0.0409590409590409
302,nwharg_c,0.0459540459540459
320,pcreat_m,0.0069930069930069
334,pi_e,0.0299700299700299
335,pi_m,0.0479520479520479
343,ppbng_c,0.0419580419580419
400,urcan_c,0.0089910089910089
