,minimum,maximum
CYTDK2,0.0,15.78627808136
XPPT,0.0,15.3601977012964
HXPRT,0.0,34.56837527495038
NDPK5,-29.44081922483837,70.3352187390151
SHK3Dr,0.3297447025413818,1.6554227982557044
NDPK6,0.0,18.875360836821898
NDPK8,-29.44118736804729,67.82267933816709
DHORTS,-2.3100861112478617,-0.2862043059442767
OMPDC,0.28620430594427315,2.3100861112487525
PYNP2r,-54.9217609902108,24.341176552668053
G5SD,0.1912571013785327,26.17198734541272
CS,0.9302576523733371,11.723392752393334
ICDHyr,0.9302576523733269,11.190792277313971
ALATA_L2,0.0,14.294996751137104
DURIPP,-0.02263886053383027,38.75201056679392
ACALD,-234.49014413562585,101.82404058144922
PTRCTA,0.0,10.260534624939323
ACS,0.0,106.9761557091834
CYSDS,0.0,29.1428164069071
MAN6PI,-7.302913627393483e-13,0.0
PPA,2.6990105590056923,118.833817999766
APRAUR,0.00038587983630691727,0.000385879837411937
TRPAS2,-0.049180644698167235,13.485444029020275
PPCK,0.0,61.1851425771472
ME1,0.0,64.6044376271584
DB4PS,0.0007717596726138345,0.0007717596731629828
ALAR,0.03606332586758951,38.60427693163015
RBFK,0.00019293991815345863,29.4101982338968
ALATA_L,-58.71788342869545,18.410604572843162
XYLK,0.0,0.0
RBK,-2.319192320412453e-16,49.8087964294464
GLYK,0.0,103.090147956412
PPM,-108.778321030262,30.25372914624436
ASPTA,-92.8109587873752,-2.5331566367169667
ACP1_FMN,0.0,29.410005293978646
RBFSb,0.00038587983630691727,0.0003858798358767298
NDP3,0.0,24.4037537681484
CDPPH,0.0,18.1616762002152
NDP7,0.0,18.1616762002152
FBP,0.0,117.470360783562
EX_pi_e,-6.137290870249772,-0.8345784874002908
GLGC,0.0,65.2755142257587
ALATA_D2,0.0,14.2949967511371
PYK,0.0,124.65004030302524
SHCHD2,0.0001929399181534586,0.00019293991815350577
EX_co2_e,-16.56691931326336,20.55206736668028
A5PISO,0.03366671791563849,0.0336667179168464
PMDPHT,0.0003858798363069102,0.0003858798365526116
CPPPGO,0.0,0.00019293991812166907
EX_met__L_e,0.0,5.554963085236685e-13
GTHOr,0.0,47.571874434112
ILETA,-0.25136610529778064,-0.2513661052968887
DHORD5,0.0,2.310086111246897
EX_metsox_S__L_e,0.0,7.080314509602351e-14
GLYCTO2,0.0,36.67736433899817
VALTA,-19.2801371978824,19.2801371978824
GLYCTO3,0.0,36.67736433899871
IPPMIb,-0.3898000639702528,-0.38980006397128214
GLYCTO4,0.0,3.17429883147456
ORPT,-2.3100861112472133,-0.2862043059442497
RBFSa,0.0007717596726138345,0.0007717596731921742
ACHBS,0.2513661052968887,0.2513661052970168
PFK_3,0.0,83.5330585114882
DHAD2,0.2513661052968887,0.25136610529689996
ACLS,0.7565035758568857,0.7565035758569039
TRPS2,0.0,13.4854440290161
PSCVT,0.32974470254138116,1.6554227982534793
G3PD5,0.0,36.67697845916278
G1PP,0.0,71.5388958126951
PFL,0.0,41.377825716303256
EX_acgam_e,0.0,0.0
