,minimum,maximum
CYTDK2,0.0,15.78627808136
XPPT,0.0,15.3601977012964
HXPRT,0.0,34.55291160084028
NDPK5,-29.527955485096403,70.3352187390151
SHK3Dr,0.3360636510375205,1.6871459201735066
NDPK6,0.0,18.875360836821898
NDPK8,-29.528330683088015,67.8231131701365
DHORTS,-2.31557068841945,-0.291688883117759
OMPDC,0.2916888831177563,2.3155706884191853
PYNP2r,-54.9217609902108,24.34161038463555
G5SD,0.1949221906546222,26.171987345412678
CS,0.9480843229708381,11.842837509407056
ICDHyr,0.9480843229708369,11.310237034325997
ALATA_L2,0.0,14.294996751137102
DURIPP,-0.02307269249889029,38.75201056679382
ACALD,-234.62072364968031,101.86375692216039
PTRCTA,0.0,10.362152711355721
ACS,0.0,106.9385586462397
CYSDS,0.0,29.138713158284656
MAN6PI,2.6475587277811696e-13,0.0
PPA,2.750732113837587,118.833817999766
APRAUR,0.0003932745110129221,0.00039327451120609047
TRPAS2,-0.05012310096214416,13.485444029015051
PPCK,0.0,61.1851425771472
ME1,0.0,64.6044376271584
DB4PS,0.0007865490220258444,0.0007865490225656911
ALAR,0.036754412932826504,39.28499614895342
RBFK,0.0001966372555064611,29.4101982338968
ALATA_L,-59.414574546487046,18.39394158529281
XYLK,0.0,0.0
RBK,0.0,49.8087964294464
GLYK,0.0,103.090147956412
PPM,-108.778321030262,30.23825431380339
ASPTA,-92.8109587873752,-2.5816999073037774
ACP1_FMN,0.0,29.410001596641294
RBFSb,0.00039327451101292223,0.0003932745102952452
NDP3,0.0,24.4037537681484
CDPPH,0.0,18.1616762002152
NDP7,0.0,18.1616762002152
FBP,0.0,117.470360783562
EX_pi_e,-6.254900719978737,-0.8505716434314524
GLGC,0.0,65.2755142257587
ALATA_D2,0.0,14.2949967511371
PYK,0.0,124.84029014015324
SHCHD2,0.0001966372555064611,0.00019663725550641824
EX_co2_e,-16.884393738396177,20.945909797439842
A5PISO,0.03431187841375522,0.034311878412575714
PMDPHT,0.00039327451101292207,0.000393274510650877
CPPPGO,0.0,0.00019663725497299242
EX_met__L_e,0.0,-2.2134460407126687e-12
GTHOr,0.0,47.571874434112
ILETA,-0.25618307266730506,-0.25618307266832574
DHORD5,0.0,2.3155706884206015
EX_metsox_S__L_e,0.0,1.4336344731719831e-12
GLYCTO2,0.0,37.32115783367564
VALTA,-19.2801371978824,19.2801371978824
GLYCTO3,0.0,37.32115783367271
IPPMIb,-0.3972698626039036,-0.39726986260350433
GLYCTO4,0.0,3.17429883147456
ORPT,-2.3155706884210314,-0.2916888831177482
RBFSa,0.0007865490220258442,0.0007865490225505847
ACHBS,0.2561830726683257,0.25618307266876666
PFK_3,0.0,83.5330585114882
DHAD2,0.25618307266832574,0.2561830726680102
ACLS,0.7710005703381876,0.7710005703378561
TRPS2,0.0,13.4854440290161
PSCVT,0.3360636510375194,1.6871459201743049
G3PD5,0.0,37.32076455915753
G1PP,0.0,71.53889581269512
PFL,0.0,41.981326341444905
EX_acgam_e,0.0,-5.576588248116719e-13
