,minimum,maximum
rxn02201_c,0.0,1000.0000000000001
rxn00351_c,0.0,1000.0000000175842
rxn07431_c,-999.9999999999999,1000.0
rxn00836_c,-1000.0,0.0
rxn01094_c,0.0,0.0
rxn00423_c,0.0,1000.0
rxn10298_c,0.0,0.0
rxn00364_c,-1000.0,1000.0
rxn05561_c,0.0,0.0
rxn03408_c,3.349241211284255e-07,3.5551533864328036e-07
rxn02177_c,0.0,0.0
rxn05250_c,0.0,0.0
rxn00646_c,0.0,1000.0000000177321
rxn05440_c,0.0,0.0
rxn01673_c,-1000.0,1000.0
rxn02360_c,0.0,0.0
rxn02342_c,0.0,1000.0
rxn05156_c,0.0,9.17200645826159e-11
rxn01452_c,-1000.0,1000.0
rxn00642_c,0.0,0.0
rxn02000_c,0.0,0.0
rxn03239_c,-999.9999999999995,999.9999979283132
rxn05457_c,-1000.0,1000.0
rxn00107_c,0.0,0.0
rxn12008_c,-5.319683891196187e-08,0.0
rxn04070_c,0.0,1.775000831017287e-08
rxn00199_c,0.0,1000.0000000000001
rxn01358_c,-1000.0,1000.0
rxn03433_c,0.0,0.0
rxn10231_c,0.0,0.0
rxn12637_c,0.0,0.0
rxn09240_c,0.0,1000.0
rxn00172_c,-1000.0,0.0
rxn01219_c,-2.07241883241508e-07,6.908073807287276e-08
rxn02168_c,-1000.0,1000.0
rxn00800_c,-1000.0,1000.0
rxn08333_c,3.3410475034902405e-08,3.516892335785208e-08
rxn08172_c,-999.9999999999975,1000.0
rxn01705_c,-1000.0,1000.0
rxn09177_c,0.0,3.516987003080547e-08
rxn00211_c,0.0,0.0
rxn00179_c,0.0,1000.0
rxn02945_c,0.0,0.0
rxn01210_c,0.0,0.0
rxn00192_c,0.0,1000.0
rxn01218_c,0.0,2.0724222418413886e-07
rxn02898_c,0.0,3.5168912606352394e-08
rxn05654_c,0.0,0.0
rxn12549_c,-5.817342833910002e-14,2.727294187439967e-24
rxn00545_c,0.0,1000.0
rxn08807_c,0.0,0.0
rxn05614_c,0.0,0.0
rxn02316_c,0.0,1000.0
rxn00501_c,0.0,0.0
rxn10336_c,2.589606578298768e-07,2.7259009253031414e-07
rxn02320_c,-8.407658447392347e-07,0.0
rxn03384_c,0.0,0.0
rxn02504_c,5.01155896464383e-08,5.2753398376916166e-08
rxn00262_c,-1000.0,1000.0
rxn03173_c,0.0,0.0
rxn03039_c,0.0,0.0
rxn10262_c,0.0,0.0
rxn10126_c,0.0,1000.0
rxn10209_c,0.0,0.0
rxn08084_c,0.0,0.0
rxn10225_c,0.0,0.0
rxn01486_c,0.0,5.27533859568009e-08
rxn05444_c,0.0,0.0
rxn05334_c,-500.000000304695,499.99999936527587
rxn10205_c,0.0,0.0
rxn05040_c,6.682066402357147e-08,7.033869656079378e-08
rxn01843_c,0.0,0.0
rxn00816_c,-1000.0,999.9999999999994
rxn02988_c,-3.5169053329040506e-08,0.0
rxn04792_c,-1000.0,1000.0
rxn00165_c,-1000.0,1000.0
rxn10228_c,0.0,0.0
rxn01117_c,-7.051034637362273e-07,-6.698482422568512e-07
rxn00001_c,0.0,1000.0
rxn08895_c,0.0,0.0
rxn00671_c,0.0,0.0
rxn11268_c,-499.99999654957116,0.0
rxn00710_c,1.7933936592300396e-06,1.8877821313067905e-06
rxn02305_c,1.6705295690879543e-08,1.758445876197595e-08
rxn02885_c,0.0,0.0
rxn08817_c,0.0,0.0
rxn00910_c,-1000.0,999.9999998026628
rxn00953_c,-1000.0,1000.0
rxn01129_c,-1000.0,1000.0
rxn08296_c,0.0,0.0
rxn00717_c,-1000.0,1000.0
rxn05647_c,0.0,0.0
rxn01297_c,-999.9999985642869,1000.0
rxn10254_c,0.0,0.0
rxn01682_c,-999.9999995243533,1000.0000000000001
rxn08796_c,0.0,1000.0
rxn01806_c,0.0,499.99999999999994
rxn08941_c,-999.9999999999998,1000.0
rxn03181_c,3.349241211284256e-07,3.5587027042870645e-07
rxn09360_c,0.0,0.0
rxn02331_c,-7.11740540857413e-07,-6.698482422568511e-07
rxn06493_c,0.0,999.9999980567227
rxn12846_c,0.0,0.0
rxn00337_c,3.3492412112842555e-07,1000.0000000000001
rxn08308_c,0.0,0.0
rxn01930_c,3.7361686215091436e-24,3.5464524422094776e-08
rxn00208_c,0.0,0.0
rxn08823_c,0.0,0.0
rxn05031_c,0.0,0.0
rxn05434_c,0.0,0.0
rxn05346_c,-500.0000003046948,499.9999993652596
rxn00867_c,0.0,0.0
rxn03248_c,-499.99999561895316,500.00000424817523
rxn08127_c,-1000.0,1000.0
rxn05386_c,0.0,0.0
rxn05516_c,0.0,1000.0
rxn05733_c,0.0,965.5170999838684
rxn00416_c,-999.9999979762569,1000.0
rxn09206_c,0.0,0.0
rxn01729_c,0.0,0.0
rxn01134_c,0.0,0.0
rxn02376_c,-799.9998878727234,999.999994971028
rxn08017_c,0.0,1000.0
rxn09209_c,0.0,0.0
rxn12512_c,0.0,3.516918640506514e-08
rxn08669_c,0.0,-1.817779631594461e-13
rxn06672_c,0.0,999.9999999999999
rxn00649_c,0.0,1000.0000000000016
rxn01739_c,3.3489892107710304e-06,866.197160881005
rxn02400_c,0.0,1000.0
rxn01268_c,0.0,866.1971587446269
rxn00641_c,0.0,0.0
rxn00361_c,0.0,1000.0
rxn02679_c,-1000.0,1000.0
rxn07434_c,0.0,0.0
rxn01974_c,3.349241181278952e-07,3.380254399334566e-06
rxn01640_c,0.0,0.0
rxn00242_c,0.0,0.0
rxn12641_c,0.0,0.0
rxn08971_c,0.0,1000.0
rxn08275_c,0.0,1000.0
rxn01635_c,0.0,0.0
rxn03057_c,0.0,0.0
rxn00060_c,1.6705237517451202e-08,3.516891700741742e-08
rxn05350_c,-500.0000003046954,499.9999993652546
rxn09198_c,0.0,0.0
rxn08838_c,0.0,0.0
rxn00148_c,-1000.0,0.0
rxn01102_c,0.0,2.7258999310535963e-07
rxn05569_c,0.0,0.0
rxn00100_c,3.341025122821824e-08,3.5168058085358216e-08
rxn00514_c,0.0,1000.0
rxn00789_c,-8.407661020972747e-07,0.0
rxn05390_c,0.0,0.0
rxn05560_c,0.0,1000.0
rxn05437_c,0.0,0.0
rxn08976_c,0.0,999.9999999832955
rxn00781_c,-1000.0,1000.0
rxn05319_c,-999.9999999999993,166.66649545312367
rxn00881_c,0.0,0.0
rxn05298_c,-1000.0,1000.0
rxn06578_c,0.0,0.0
rxn01355_c,0.0,0.0
rxn10337_c,0.0,0.0
