,minimum,maximum
rxn02201_c,0.0,1000.0000000000001
rxn00351_c,0.0,1000.0
rxn07431_c,-999.9999999999999,1000.0
rxn00836_c,-1000.0,0.0
rxn01094_c,0.0,0.0
rxn00423_c,0.0,1000.0
rxn10298_c,0.0,0.0
rxn00364_c,-1000.0,1000.0
rxn05561_c,0.0,0.0
rxn03408_c,0.07836530915011099,0.08248979910544896
rxn02177_c,0.0,0.0
rxn05250_c,0.0,0.0
rxn00646_c,0.0,999.9999999999999
rxn05440_c,0.0,0.0
rxn01673_c,-1000.0,1000.0
rxn02360_c,0.0,0.0
rxn02342_c,0.0,999.9999999999998
rxn05156_c,0.0,2.1460595886818036e-05
rxn01452_c,-1000.0,1000.0
rxn00642_c,0.0,0.0
rxn02000_c,0.0,0.0
rxn03239_c,-999.9999999999995,999.5152685464325
rxn05457_c,-1000.0,1000.0
rxn00107_c,0.0,0.0
rxn12008_c,-0.012343198950664762,-2.136025333505016e-18
rxn04070_c,0.0,0.0
rxn00199_c,0.0,999.9999999999992
rxn01358_c,-1000.0,1000.0
rxn03433_c,0.0,0.0
rxn10231_c,0.0,0.0
rxn12637_c,0.0,0.0
rxn09240_c,0.0,1000.0
rxn00172_c,-1000.0,0.0
rxn01219_c,-0.04849037767467686,-1.9312339663156086e-17
rxn02168_c,-1000.0,1000.0
rxn00800_c,-1000.0,1000.0
rxn08333_c,0.007817359335424648,0.008228799300443174
rxn08172_c,-999.9999999999986,1000.0
rxn01705_c,-1000.0,1000.0
rxn09177_c,0.0,0.00822879930065347
rxn00211_c,0.0,0.0
rxn00179_c,0.0,1000.0
rxn02945_c,0.0,0.0
rxn01210_c,0.0,0.0
rxn00192_c,0.0,1000.0
rxn01218_c,1.7091420601893138e-15,0.04849037767473465
rxn02898_c,0.0,0.00822879930044638
rxn05654_c,0.0,0.0
rxn12549_c,1.9281319543719454e-14,0.0
rxn00545_c,0.0,1000.0
rxn08807_c,0.0,0.0
rxn05614_c,0.0,0.0
rxn02316_c,0.0,1000.0
rxn00501_c,0.0,0.0
rxn10336_c,0.06059143169558445,0.06378045441639647
rxn02320_c,-0.19672185696198313,0.0
rxn03384_c,0.0,0.0
rxn02504_c,0.011726039003106323,0.012343198950661901
rxn00262_c,-1000.0,1000.0
rxn03173_c,0.0,0.0
rxn03039_c,0.0,0.0
rxn10262_c,0.0,0.0
rxn10126_c,0.0,1000.0
rxn10209_c,0.0,0.0
rxn08084_c,0.0,0.0
rxn10225_c,0.0,0.0
rxn01486_c,0.0,0.012343198950654352
rxn05444_c,0.0,0.0
rxn05334_c,-500.07129230603704,499.85148373367673
rxn10205_c,0.0,0.0
rxn05040_c,0.01563471867043989,0.01645759860281798
rxn01843_c,0.0,0.0
rxn00816_c,-1000.0,999.9999999999997
rxn02988_c,-0.008228799300276231,0.0
rxn04792_c,-1000.0000000000003,1000.0
rxn00165_c,-1000.0,1000.0
rxn10228_c,0.0,0.0
rxn01117_c,-0.16497959821072394,-0.15673061830022197
rxn00001_c,0.0,1000.0
rxn08895_c,0.0,0.0
rxn00671_c,0.0,0.0
rxn11268_c,-499.1926709699315,0.0
rxn00710_c,0.4196169405661098,0.4417020427015619
rxn02305_c,0.003908679667693043,0.0041143996502229305
rxn02885_c,0.0,0.0
rxn08817_c,0.0,0.0
rxn00910_c,-1000.0,999.9538270833812
rxn00953_c,-1000.0,1000.0
rxn01129_c,-1000.0,1000.0
rxn08296_c,0.0,0.0
rxn00717_c,-1000.0,1000.0
rxn05647_c,0.0,0.0
rxn01297_c,-999.6640728285987,1000.0
rxn10254_c,0.0,0.0
rxn01682_c,-999.8887084775502,1000.0000000000001
rxn08796_c,0.0,1000.0
rxn01806_c,0.0,499.99999999999994
rxn08941_c,-1000.0000000000001,1000.0
rxn03181_c,0.078365309150111,0.08248979910538001
rxn09360_c,0.0,0.0
rxn02331_c,-0.16497959821076003,-0.156730618300222
rxn06493_c,0.0,999.5453150688417
rxn12846_c,0.0,0.0
rxn00337_c,0.07836530915011412,1000.0000000000001
rxn08308_c,0.0,0.0
rxn01930_c,5.749161278376162e-16,0.008228799300706576
rxn00208_c,0.0,0.0
rxn08823_c,0.0,0.0
rxn05031_c,0.0,0.0
rxn05434_c,0.0,0.0
rxn05346_c,-500.07129230603755,499.85148373367053
rxn00867_c,0.0,0.0
rxn03248_c,-498.9749257343549,500.99398493689665
rxn08127_c,-1000.0,1000.0
rxn05386_c,0.0,0.0
rxn05516_c,0.0,1000.0
rxn05733_c,0.0,932.363788231214
rxn00416_c,-999.5264860695762,1000.0
rxn09206_c,0.0,0.0
rxn01729_c,0.0,0.0
rxn01134_c,0.0,0.0
rxn02376_c,-773.7341122616307,998.7958837013516
rxn08017_c,0.0,1000.0
rxn09209_c,0.0,0.0
rxn12512_c,0.0,0.008228799297906271
rxn08669_c,0.0,-1.817779631594461e-13
rxn06672_c,0.0,999.9999999999999
rxn00649_c,0.0,1000.0000000000009
rxn01739_c,0.7835941747388463,860.9987216668827
rxn02400_c,0.0,1000.0
rxn01268_c,0.0,860.4988575669149
rxn00641_c,0.0,0.0
rxn00361_c,0.0,1000.0
rxn02679_c,-1000.0,1000.0
rxn07434_c,0.0,0.0
rxn01974_c,0.07836530915010857,0.7909095199630901
rxn01640_c,0.0,0.0
rxn00242_c,0.0,0.0
rxn12641_c,0.0,0.0
rxn08971_c,0.0,1000.0
rxn08275_c,0.0,999.9960913203323
rxn01635_c,0.0,0.0
rxn03057_c,0.0,0.0
rxn00060_c,0.007338788047148603,0.00822879930044051
rxn05350_c,-500.0712923060381,499.8514837336713
rxn09198_c,0.0,0.0
rxn08838_c,0.0,0.0
rxn00148_c,-1000.0,0.0
rxn01102_c,0.0,0.06378045441616083
rxn05569_c,0.0,0.0
rxn00100_c,0.007817359334287564,0.00822879929935619
rxn00514_c,0.0,1000.0
rxn00789_c,-0.19672185696201439,0.0
rxn05390_c,0.0,0.0
rxn05560_c,0.0,1000.0
rxn05437_c,0.0,0.0
rxn08976_c,0.0,999.9960913203324
rxn00781_c,-1000.0,1000.0
rxn05319_c,-999.9999999999948,126.60624411264085
rxn00881_c,0.0,0.0
rxn05298_c,-1000.0,1000.0000000000001
rxn06578_c,0.0,0.0
rxn01355_c,0.0,0.0
rxn10337_c,0.0,0.0
rxn00292_c,0.0,0.0
rxn08336_c,0.0,0.4417020427016764
rxn05401_c,0.0,0.0
rxn02264_c,0.007338788047148603,0.008228799300444959
rxn10338_c,0.0,0.0
rxn09202_c,0.06059143169557777,0.06378045441634492
rxn01451_c,-1000.0,1000.0
rxn03903_c,0.0,0.0
rxn00097_c,-1000.0,1000.0
rxn01217_c,0.0,0.04849037767463876
rxn02212_c,0.7835941747392215,860.9987216668796
rxn00695_c,0.0,1000.0
rxn00250_c,-1000.0,1000.0
rxn05324_c,-499.8514837336594,500.0712923060386
rxn10481_c,0.003908679667712491,1000.0
rxn03535_c,0.0,0.0
rxn00692_c,-933.7076534260922,1000.0
rxn01492_c,0.0,999.9999999999999
rxn00802_c,0.5816556928039727,1000.0
rxn08440_c,-1000.0,999.9999999999995
rxn02160_c,0.0,0.19672185696151787
rxn08802_c,0.0,0.0
rxn02315_c,0.0,1000.0
rxn01825_c,1.1902148034178104e-13,860.2104205610019
rxn10230_c,0.0,0.0
rxn02720_c,-500.9939849368949,1000.0
rxn00913_c,-1000.0,1000.0
rxn01997_c,0.0,0.0
rxn08809_c,0.0,0.0
rxn00460_c,0.0,1000.0
rxn00171_c,-1000.0,1000.0
rxn05578_c,0.0,0.0
rxn00178_c,-1000.0,502.00011831866135
rxn03264_c,0.0,0.0
rxn01362_c,-0.4417020427015977,-0.4196169405659494
rxn05329_c,-500.071292306043,499.8514837336687
rxn03174_c,-0.012343198950681224,0.0
rxn03918_c,0.0,0.0
rxn05161_c,0.8850825794833636,0.9316658731394881
rxn00549_c,0.0,1000.0
rxn03951_c,0.0,0.0
rxn01022_c,0.0,0.0
rxn05418_c,0.0,0.0
rxn00506_c,0.0,1000.0
rxn10060_c,-999.9960913203323,1000.0
rxn02933_c,0.0,0.0
rxn00727_c,0.0,0.1253777703008322
rxn10307_c,0.0,0.0
rxn05617_c,0.0,0.0
rxn03852_c,0.0,0.0
rxn01354_c,-1000.0,1000.0
rxn02268_c,0.0,0.0
rxn00305_c,-1000.0,1000.0
rxn01445_c,-1000.0,1000.0
rxn05248_c,0.0,0.0
rxn00612_c,-1000.0,999.6364514098465
rxn08766_c,-1000.0,1000.0
rxn05539_c,0.0,0.0
rxn08841_c,0.0,0.0
rxn05461_c,0.4847314535645722,0.5102436353315108
rxn02159_c,0.0,0.19672185696218056
rxn10222_c,0.0,0.0
rxn00269_c,-1000.0,1000.0
rxn10263_c,0.0,0.0
rxn02791_c,0.0,0.0
rxn05466_c,12.967360540102211,1000.0
rxn08814_c,0.0,0.0
rxn00917_c,-999.6640728285983,1000.0
rxn08845_c,0.0,0.0
rxn00395_c,0.0,999.4183443071977
rxn01438_c,0.0,0.008228799301372094
rxn00300_c,0.00781735933550639,0.00822879930029307
rxn01925_c,-999.9999999999999,1000.0
rxn02798_c,0.0,0.0
rxn00999_c,0.0,0.0
rxn08799_c,0.0,1000.0
rxn00433_c,0.0,0.0
rxn05957_c,-1000.0,1000.0
rxn05335_c,-999.515268546434,999.6865387633995
rxn03419_c,0.0,0.012343198950908069
rxn08551_c,0.0,0.0
rxn10256_c,0.0,0.0
rxn00679_c,0.0,0.0
rxn01516_c,-1000.0,1000.0
rxn00758_c,0.0,0.0
rxn10314_c,0.0,0.0
rxn09111_c,0.0,0.0
rxn06078_c,0.0,932.3637882311114
rxn00471_c,0.0,1000.0
rxn05607_c,0.0,0.0
rxn05595_c,-1000.0,1000.0
rxn05348_c,-500.07129230603834,499.8514837336517
rxn05435_c,0.0,0.0
rxn03245_c,-498.97492573435534,500.99398493689506
rxn01504_c,0.0,1.2948985190116708e-13
rxn00907_c,-998.7528411249543,1.5095206727934196
rxn05458_c,-1000.0,999.5152685464355
rxn08300_c,0.0,0.0
rxn02404_c,0.156730618300222,0.16497959821086638
rxn01644_c,0.0,0.7909095199629692
rxn08297_c,0.0,0.0
rxn02911_c,-498.9749257343551,500.99398493689654
rxn05450_c,0.0,0.0
rxn12847_c,0.0,0.0
rxn05410_c,0.0,0.0
rxn05443_c,0.0,0.0
rxn09114_c,0.0,0.0
rxn09188_c,-1000.0,1000.0
rxn08822_c,-0.2551218176655429,-0.24236572678231094
rxn05030_c,0.07836530915009438,0.08248979910538011
rxn10208_c,0.0,0.0
rxn01620_c,0.0,0.0
rxn05345_c,-999.2018073098349,1000.0
rxn00336_c,-999.0906301376713,1000.0
rxn05422_c,0.0,0.0
rxn03891_c,2.5819669644301007e-17,0.012343198950614772
rxn01465_c,-0.4417020427014235,-0.41961694056650317
rxn10204_c,-999.5152685464354,1000.0
rxn01833_c,0.0,1000.0000000000001
rxn05145_c,1.6146580601310727,1000.0
rxn01872_c,-998.7958837013509,773.734112261623
rxn01301_c,-1000.0,1000.0
rxn01643_c,-1000.0,-0.07836530915011097
rxn00248_c,-1000.0,1000.0
rxn08844_c,0.0,0.0
rxn05385_c,0.0,0.0
rxn00707_c,-1000.0,1000.0
rxn00369_c,-1000.0,1000.0
rxn01637_c,-1000.0000000000001,0.0
rxn00566_c,0.0,1000.0
rxn00708_c,-1000.0,1000.0
rxn07433_c,0.0,0.0
rxn01269_c,0.0,860.4988575669186
rxn00392_c,0.003908679667712323,0.004114399650195501
rxn00747_c,-1000.0,600.2190536612686
rxn01334_c,0.0,1000.0
rxn00830_c,0.09009134815337143,0.09483299805601327
rxn01108_c,-1000.0,1000.0
rxn05219_c,0.0,0.3204839547353858
rxn03406_c,0.0,0.0
rxn00029_c,0.029355152188594406,0.03291519720177798
rxn00609_c,0.0,0.0
rxn06673_c,0.0,1000.0
rxn12646_c,0.0,0.0
rxn06777_c,-1000.0,999.2018073098349
rxn05256_c,0.0,552.6281343752586
rxn05448_c,0.0,0.0
rxn05446_c,0.0,0.0
rxn02175_c,0.007817359335451992,0.008228799300376096
rxn02835_c,0.0,0.19672185696185476
rxn02774_c,0.003908679667712323,0.0041143996502266125
rxn01675_c,0.0,0.0
rxn08839_c,0.0,0.0
rxn01575_c,-1000.0000000000001,1000.0000000000001
rxn01454_c,-1000.0,0.0
rxn05150_c,0.0,1000.0
rxn10335_c,0.0,0.0
rxn05398_c,0.0,0.0
rxn01315_c,0.0,0.0
rxn03240_c,-999.5152685464351,999.9999999999999
rxn09562_c,-1000.0,1000.0
rxn01501_c,-1.0061333817649027,-0.9558267126763165
rxn00555_c,0.3134612366004445,1000.0
rxn03080_c,0.015634718671071832,0.016457598600897773
rxn10237_c,0.0,0.0
rxn10011_c,-1000.0,1000.0
rxn12644_c,0.0,0.0
rxn00147_c,0.0,1000.0
rxn00737_c,0.0,932.4099611478465
rxn08843_c,0.0,0.0
rxn01256_c,0.6527592539508456,860.8631798149493
rxn00213_c,0.0,1000.0000000000001
rxn01629_c,-0.06583039440359761,-0.058710304377188834
rxn00777_c,-552.2929253604015,-0.9812189056122408
rxn05164_c,0.0,0.1967218569620456
rxn01740_c,-860.9987216668803,-0.783594174739222
rxn00190_c,0.0,1000.0
rxn05327_c,-499.85148373366263,500.0712923060376
rxn01444_c,-1000.0,1000.0
rxn05655_c,0.0,0.0
rxn02314_c,-1000.0,1000.0000000000025
rxn08801_c,-999.5152685464355,999.9999999999999
rxn02275_c,0.0,0.0
rxn00251_c,-1000.0,1000.0
rxn00139_c,-1000.0,1000.0
rxn00790_c,-0.6563994079142557,-0.6235794375139442
rxn07976_c,0.0,0.0
rxn00237_c,-1000.0,1000.0
rxn00463_c,-1000.0,999.6413372290617
rxn01489_c,0.0,0.0
rxn10342_c,0.0,0.0
rxn08311_c,0.2423657267823111,0.25512181766548353
rxn03175_c,-3.269946656219017e-14,0.1967218569618927
rxn10264_c,0.0,0.0
rxn03421_c,0.0,0.012343198950662248
rxn10227_c,0.0,0.0
rxn01146_c,-999.9303750053721,0.028800797551565404
rxn05336_c,-1000.0000000000002,999.5152685464346
rxn09210_c,0.06059143169557918,0.06378045441640819
rxn00285_c,-1000.0,1000.0
rxn00182_c,-1000.0,1000.0
rxn05567_c,0.0,0.0
rxn01642_c,0.0,0.0
rxn00132_c,-1000.0,1000.0
rxn01045_c,-999.992182640666,1000.0
rxn08893_c,0.0,0.0
rxn06864_c,0.0,0.0
rxn00712_c,-1000.0,1000.0
rxn08615_c,0.0,1000.0
rxn08815_c,0.0,0.0
rxn00126_c,0.0,999.9577357630467
rxn01518_c,0.0,1000.0
rxn12844_c,0.0,0.0
rxn08798_c,0.0,1000.0
rxn08119_c,0.0,1.8177796315944619e-13
rxn08306_c,0.0,0.0
rxn08821_c,0.0,0.0
rxn00206_c,0.0,0.0
rxn05381_c,0.0,0.0
rxn01871_c,-1000.0,0.0
rxn05340_c,-499.85148373367196,500.0712923060384
rxn02143_c,0.0,0.0
rxn00405_c,4.939645839735682e-19,0.004114399650227478
rxn04704_c,0.0,0.0
rxn00299_c,0.0,0.01234319895054248
rxn08546_c,0.0,1000.0
rxn00756_c,0.0,0.0
rxn05389_c,0.0,0.0
rxn05735_c,0.0,0.0
rxn02484_c,0.0,0.0
rxn01133_c,0.0,0.0
rxn12639_c,0.0,0.0
rxn03159_c,0.07836530915011666,0.0824897991054856
rxn00875_c,-1000.0000000000001,1000.0
rxn01000_c,0.3643222480198174,0.38349710317903657
rxn00647_c,0.0,0.0
rxn03397_c,0.0039086796677109525,0.004114399650226517
rxn08120_c,0.0,-1.8177796315944616e-13
rxn00363_c,-1000.0,1000.0
rxn08128_c,-1000.0,1000.0
rxn05188_c,0.0,0.0
rxn01670_c,0.0,999.9999999999999
