,minimum,maximum
rxn02201_c,0.0,1000.0000000000001
rxn00351_c,0.0,1000.0
rxn07431_c,-999.9999999999999,1000.0
rxn00836_c,-1000.0,0.0
rxn01094_c,0.0,0.0
rxn00423_c,0.0,1000.0
rxn10298_c,0.0,0.0
rxn00364_c,-1000.0,1000.0
rxn05561_c,0.0,0.0
rxn03408_c,3.832136357623547e-06,4.033827679428932e-06
rxn02177_c,0.0,0.0
rxn05250_c,0.0,0.0
rxn00646_c,0.0,999.9999999999999
rxn05440_c,0.0,0.0
rxn01673_c,-1000.0,1000.0
rxn02360_c,0.0,0.0
rxn02342_c,0.0,999.9999999999999
rxn05156_c,0.0,1.049443059002152e-09
rxn01452_c,-1000.0,1000.0
rxn00642_c,0.0,0.0
rxn02000_c,0.0,0.0
rxn03239_c,-1000.0,999.9999762961818
rxn05457_c,-1000.0,1000.0
rxn00107_c,0.0,0.0
rxn12008_c,-6.035938824986756e-07,0.0
rxn04070_c,0.0,0.0
rxn00199_c,0.0,1000.0000000000001
rxn01358_c,-1000.0,1000.0
rxn03433_c,0.0,0.0
rxn10231_c,0.0,0.0
rxn12637_c,0.0,0.0
rxn09240_c,0.0,1000.0
rxn00172_c,-1000.0,0.0
rxn01219_c,-2.371224483754835e-06,0.0
rxn02168_c,-1000.0,1000.0
rxn00800_c,-1000.0,1000.0
rxn08333_c,3.822761277251494e-07,4.023959206636037e-07
rxn08172_c,-999.9999999999993,1000.0
rxn01705_c,-1000.0,1000.0
rxn09177_c,0.0,4.0239599581350916e-07
rxn00211_c,0.0,0.0
rxn00179_c,0.0,1000.0
rxn02945_c,0.0,0.0
rxn01210_c,0.0,0.0
rxn00192_c,0.0,1000.0
rxn01218_c,0.0,2.3712243654920614e-06
rxn02898_c,0.0,4.0239592366115076e-07
rxn05654_c,0.0,0.0
rxn12549_c,-9.834906478504016e-18,-9.14536905712794e-14
rxn00545_c,0.0,1000.0
rxn08807_c,0.0,0.0
rxn05614_c,0.0,0.0
rxn02316_c,0.0,1000.0
rxn00501_c,0.0,0.0
rxn10336_c,2.9629772600819864e-06,3.1189234077398234e-06
rxn02320_c,-9.619881417028974e-06,0.0
rxn03384_c,0.0,0.0
rxn02504_c,5.734141926793571e-07,6.035938745877715e-07
rxn00262_c,-1000.0,1000.0
rxn03173_c,0.0,0.0
rxn03039_c,0.0,0.0
rxn10262_c,0.0,0.0
rxn10126_c,0.0,1000.0
rxn10209_c,0.0,0.0
rxn08084_c,0.0,0.0
rxn10225_c,0.0,0.0
rxn01486_c,0.0,6.035938996426114e-07
rxn05444_c,0.0,0.0
rxn05334_c,-500.0000034862618,499.99999273741713
rxn10205_c,0.0,0.0
rxn05040_c,7.645524018606159e-07,8.047916130369266e-07
rxn01843_c,0.0,0.0
rxn00816_c,-1000.0,999.9999999999994
rxn02988_c,-4.0239564511308613e-07,0.0
rxn04792_c,-1000.0000000000002,1000.0
rxn00165_c,-1000.0,1000.0
rxn10228_c,0.0,0.0
rxn01117_c,-8.067655411661384e-06,-7.664272715247096e-06
rxn00001_c,0.0,1000.0
rxn08895_c,0.0,0.0
rxn00671_c,0.0,0.0
rxn11268_c,-499.9999605208616,0.0
rxn00710_c,2.0519658434839272e-05,2.1599640238970304e-05
rxn02305_c,1.911380638724096e-07,2.0119796195074633e-07
rxn02885_c,0.0,0.0
rxn08817_c,0.0,0.0
rxn00910_c,-1000.0,999.9999977421023
rxn00953_c,-1000.0,1000.0
rxn01129_c,-1000.0,1000.0
rxn08296_c,0.0,0.0
rxn00717_c,-1000.0,1000.0
rxn05647_c,0.0,0.0
rxn01297_c,-999.9999835728506,1000.0
rxn10254_c,0.0,0.0
rxn01682_c,-999.9999945577413,1000.0000000000001
rxn08796_c,0.0,1000.0
rxn01806_c,0.0,499.99999999999994
rxn08941_c,-1000.0000000000002,1000.0000000000001
rxn03181_c,3.832136357623548e-06,4.033827744866898e-06
rxn09360_c,0.0,0.0
rxn02331_c,-8.067655489733797e-06,-7.664272715247095e-06
rxn06493_c,0.0,999.9999777654733
rxn12846_c,0.0,0.0
rxn00337_c,3.83213636058702e-06,1000.0000000000001
rxn08308_c,0.0,0.0
rxn01930_c,5.97786979441463e-23,4.0239570407295356e-07
rxn00208_c,0.0,0.0
rxn08823_c,0.0,0.0
rxn05031_c,0.0,0.0
rxn05434_c,0.0,0.0
rxn05346_c,-500.00000348625986,499.9999927374166
rxn00867_c,0.0,0.0
rxn03248_c,-499.9999498729203,500.00004860678587
rxn08127_c,-1000.0,1000.0
rxn05386_c,0.0,0.0
rxn05516_c,0.0,1000.0
rxn05733_c,0.0,965.515620144667
rxn00416_c,-999.9999768447295,1000.0
rxn09206_c,0.0,0.0
rxn01729_c,0.0,0.0
rxn01134_c,0.0,0.0
rxn02376_c,-799.9987155737239,999.9999411175957
rxn08017_c,0.0,1000.0
rxn09209_c,0.0,0.0
rxn12512_c,0.0,4.023948343158398e-07
rxn08669_c,0.0,-1.817779631594461e-13
rxn06672_c,0.0,999.9999999999999
rxn00649_c,0.0,1000.0000000000001
rxn01739_c,3.831848216191832e-05,866.1969288890062
rxn02400_c,0.0,1000.0
rxn01268_c,0.0,866.1969044452002
rxn00641_c,0.0,0.0
rxn00361_c,0.0,1000.0
rxn02679_c,-1000.0,1000.0
rxn07434_c,0.0,0.0
rxn01974_c,3.832136357623557e-06,3.867620915818039e-05
rxn01640_c,0.0,0.0
rxn00242_c,0.0,0.0
rxn12641_c,0.0,0.0
rxn08971_c,0.0,1000.0
rxn08275_c,0.0,999.9999998088621
rxn01635_c,0.0,0.0
rxn03057_c,0.0,0.0
rxn00060_c,3.5887354752772173e-07,4.0239592651256965e-07
rxn05350_c,-500.0000034862598,499.9999927374206
rxn09198_c,0.0,0.0
rxn08838_c,0.0,0.0
rxn00148_c,-1000.0,0.0
rxn01102_c,0.0,3.1189233109204944e-06
rxn05569_c,0.0,0.0
rxn00100_c,3.822761132609579e-07,4.0239472508203237e-07
rxn00514_c,0.0,1000.0
rxn00789_c,-9.619881219674248e-06,0.0
rxn05390_c,0.0,0.0
rxn05560_c,0.0,1000.0
rxn05437_c,0.0,0.0
rxn08976_c,0.0,999.9999998088622
rxn00781_c,-1000.0,1000.0
rxn05319_c,-999.9999999999999,166.6647076748505
rxn00881_c,0.0,0.0
rxn05298_c,-1000.0,1000.0
rxn06578_c,0.0,0.0
rxn01355_c,0.0,0.0
rxn10337_c,0.0,0.0
rxn00292_c,0.0,0.0
rxn08336_c,0.0,2.1599639782403682e-05
rxn05401_c,0.0,0.0
rxn02264_c,3.588735475094013e-07,4.023959341536302e-07
rxn10338_c,0.0,0.0
rxn09202_c,2.96297725204289e-06,3.118923477380854e-06
rxn01451_c,-1000.0,1000.0
rxn03903_c,0.0,0.0
rxn00097_c,-1000.0,1000.0
rxn01217_c,0.0,2.3712242765568355e-06
rxn02212_c,3.831848296159296e-05,866.1969288890217
rxn00695_c,0.0,1000.0
rxn00250_c,-1000.0,1000.0
rxn05324_c,-499.9999927374146,500.0000034862601
rxn10481_c,1.9113806414145466e-07,1000.0
rxn03535_c,0.0,0.0
rxn00692_c,-965.515685860937,1000.0
rxn01492_c,0.0,999.9999999999999
rxn00802_c,2.8443503282085374e-05,1000.0
rxn08440_c,-1000.0,1000.0
rxn02160_c,0.0,9.619881395467264e-06
rxn08802_c,0.0,0.0
rxn02315_c,0.0,1000.0
rxn01825_c,1.9278497862609799e-13,866.1968903403421
rxn10230_c,0.0,0.0
rxn02720_c,-500.00004860678746,1000.0
rxn00913_c,-1000.0,1000.0
rxn01997_c,0.0,0.0
rxn08809_c,0.0,0.0
rxn00460_c,0.0,1000.0
rxn00171_c,-1000.0,1000.0
rxn05578_c,0.0,0.0
rxn00178_c,-1000.0,500.000097807648
rxn03264_c,0.0,0.0
rxn01362_c,-2.1599640261306976e-05,-2.051965783371265e-05
rxn05329_c,-500.0000034862614,499.99999273741673
rxn03174_c,-6.035938939651788e-07,0.0
rxn03918_c,0.0,0.0
rxn05161_c,4.328135966424949e-05,4.55593242208542e-05
rxn00549_c,0.0,1000.0
rxn03951_c,0.0,0.0
rxn01022_c,0.0,0.0
rxn05418_c,0.0,0.0
rxn00506_c,0.0,1000.0
rxn10060_c,-999.9999998088626,1000.0
rxn02933_c,0.0,0.0
rxn00727_c,0.0,6.131088979363817e-06
rxn10307_c,0.0,0.0
rxn05617_c,0.0,0.0
rxn03852_c,0.0,0.0
rxn01354_c,-1000.0,1000.0
rxn02268_c,0.0,0.0
rxn00305_c,-1000.0,1000.0
rxn01445_c,-1000.0,1000.0
rxn05248_c,0.0,0.0
rxn00612_c,-1000.0,999.9999822221369
rxn08766_c,-1000.0,1000.0
rxn05539_c,0.0,0.0
rxn08841_c,0.0,0.0
rxn05461_c,2.370381801634311e-05,2.4951386972863925e-05
rxn02159_c,0.0,9.619881148235623e-06
rxn10222_c,0.0,0.0
rxn00269_c,-1000.0,1000.0
rxn10263_c,0.0,0.0
rxn02791_c,0.0,0.0
rxn05466_c,0.0006341159630509881,1000.0
rxn08814_c,0.0,0.0
rxn00917_c,-999.9999835728494,1000.0
rxn08845_c,0.0,0.0
rxn00395_c,0.0,999.9999715564963
rxn01438_c,0.0,4.0239595309665963e-07
rxn00300_c,3.8227600481903614e-07,4.023961985594959e-07
rxn01925_c,-999.9999999999999,1000.0
rxn02798_c,0.0,0.0
rxn00999_c,0.0,0.0
rxn08799_c,0.0,1000.0
rxn00433_c,0.0,0.0
rxn05957_c,-1000.0,1000.0
rxn05335_c,-999.999976296178,999.9999846714541
rxn03419_c,0.0,6.035937635941385e-07
rxn08551_c,0.0,0.0
rxn10256_c,0.0,0.0
rxn00679_c,0.0,0.0
rxn01516_c,-1000.0,1000.0
rxn00758_c,0.0,0.0
rxn10314_c,0.0,0.0
rxn09111_c,0.0,0.0
rxn06078_c,0.0,965.5156201446906
rxn00471_c,0.0,1000.0
rxn05607_c,0.0,0.0
rxn05595_c,-1000.0,1000.0
rxn05348_c,-500.00000348625724,499.9999927374175
rxn05435_c,0.0,0.0
rxn03245_c,-499.9999498729169,500.0000486067746
rxn01504_c,0.0,0.0
rxn00907_c,-999.9999390127722,7.381696627482415e-05
rxn05458_c,-1000.0,999.999976296182
rxn08300_c,0.0,0.0
rxn02404_c,7.664272715247096e-06,8.067655586414476e-06
rxn01644_c,0.0,3.8676208941049535e-05
rxn08297_c,0.0,0.0
rxn02911_c,-499.99994987291717,500.0000486067865
rxn05450_c,0.0,0.0
rxn12847_c,0.0,0.0
rxn05410_c,0.0,0.0
rxn05443_c,0.0,0.0
rxn09114_c,0.0,0.0
rxn09188_c,-1000.0,1000.0
rxn08822_c,-1.2475693609871041e-05,-1.1851909008171556e-05
rxn05030_c,3.832136356317613e-06,4.0338277539165324e-06
rxn10208_c,0.0,0.0
rxn01620_c,0.0,0.0
rxn05345_c,-999.9999609676365,1000.0
rxn00336_c,-999.9999555309704,1000.0
rxn05422_c,0.0,0.0
rxn03891_c,-7.879537855316469e-22,6.035938839886281e-07
rxn01465_c,-2.1599640093505263e-05,-2.0519658156973472e-05
rxn10204_c,-999.9999762961819,1000.0
rxn01833_c,0.0,1000.0000000000001
rxn05145_c,7.895826815122822e-05,1000.0
rxn01872_c,-999.9999411175937,799.9987155737033
rxn01301_c,-1000.0,999.9999999999998
rxn01643_c,-1000.0,-3.8321363576235465e-06
rxn00248_c,-1000.0,1000.0
rxn08844_c,0.0,0.0
rxn05385_c,0.0,0.0
rxn00707_c,-1000.0,1000.0
rxn00369_c,-1000.0,1000.0
rxn01637_c,-1000.0000000000001,0.0
rxn00566_c,0.0,1000.0
rxn00708_c,-1000.0,1000.0
rxn07433_c,0.0,0.0
rxn01269_c,0.0,866.1969044451956
rxn00392_c,1.9113810248677303e-07,2.011978611795145e-07
rxn00747_c,-1000.0,600.0000107119241
rxn01334_c,-7.579000377574458e-14,1000.0
rxn00830_c,4.4055505687003955e-06,4.637421585871402e-06
rxn01108_c,-1000.0,1000.0
rxn05219_c,0.0,1.567196286591454e-05
rxn03406_c,0.0,0.0
rxn00029_c,1.4354941900376052e-06,1.609583691711204e-06
rxn00609_c,0.0,0.0
rxn06673_c,0.0,1000.0
rxn12646_c,0.0,0.0
rxn06777_c,-1000.0,999.9999609676366
rxn05256_c,0.0,571.4276520697483
rxn05448_c,0.0,0.0
rxn05446_c,0.0,0.0
rxn02175_c,3.822761251147825e-07,4.0239607612324955e-07
rxn02835_c,0.0,9.61988144876439e-06
rxn02774_c,1.9113806386257467e-07,2.011979649339111e-07
rxn01675_c,0.0,0.0
rxn08839_c,0.0,0.0
rxn01575_c,-1000.0,999.9999999999993
rxn01454_c,-1000.0,0.0
rxn05150_c,0.0,1000.0
rxn10335_c,0.0,0.0
rxn05398_c,0.0,0.0
rxn01315_c,0.0,0.0
rxn03240_c,-999.9999762961821,999.9999999999999
rxn09562_c,-1000.0,1000.0
rxn01501_c,-4.9200856123944296e-05,-4.67408134666395e-05
rxn00555_c,1.5328545474924245e-05,1000.0
rxn03080_c,7.645525731154952e-07,8.047905791598508e-07
rxn10237_c,0.0,0.0
rxn10011_c,-1000.0,1000.0
rxn12644_c,0.0,0.0
rxn00147_c,0.0,1000.0
rxn00737_c,0.0,965.5156224025898
rxn08843_c,0.0,0.0
rxn01256_c,3.192053342185679e-05,866.1969222608876
rxn00213_c,0.0,1000.0000000000001
rxn01629_c,-3.219167485606345e-06,-2.8709883800752097e-06
rxn00777_c,-553.5713660514365,-4.798251538388708e-05
rxn05164_c,0.0,9.619881438250609e-06
rxn01740_c,-866.196928889004,-3.8318482608476716e-05
rxn00190_c,0.0,1000.0
rxn05327_c,-499.9999927374165,500.00000348626116
rxn01444_c,-1000.0,1000.0
rxn05655_c,0.0,0.0
rxn02314_c,-1000.0,1000.0
rxn08801_c,-999.9999762961822,999.9999999999999
rxn02275_c,0.0,0.0
rxn00251_c,-1000.0,1000.0
rxn00139_c,-1000.0,1000.0
rxn00790_c,-3.209854084203177e-05,-3.049361405195852e-05
rxn07976_c,0.0,0.0
rxn00237_c,-1000.0,1000.0
rxn00463_c,-1000.0,999.9999824610567
rxn01489_c,0.0,0.0
rxn10342_c,0.0,0.0
rxn08311_c,1.1851909008171558e-05,1.2475693849827303e-05
rxn03175_c,-2.6930277148269215e-14,9.619881266516732e-06
rxn10264_c,0.0,0.0
rxn03421_c,0.0,6.035938824232042e-07
rxn10227_c,0.0,0.0
rxn01146_c,-999.9999965952724,1.4083857333015102e-06
rxn05336_c,-1000.0000000000002,999.9999762961834
rxn09210_c,2.96297725223219e-06,3.1189234105136386e-06
rxn00285_c,-1000.0,1000.0
rxn00182_c,-1000.0,1000.0
rxn05567_c,0.0,0.0
rxn01642_c,0.0,0.0
rxn00132_c,-1000.0,1000.0
rxn01045_c,-999.9999996177257,1000.0
rxn08893_c,0.0,0.0
rxn06864_c,0.0,0.0
rxn00712_c,-1000.0,1000.0
rxn08615_c,0.0,1000.0
rxn08815_c,0.0,0.0
rxn00126_c,0.0,999.9999979332466
rxn01518_c,0.0,1000.0
rxn12844_c,0.0,0.0
rxn08798_c,0.0,1000.0
rxn08119_c,0.0,1.8177796315944613e-13
rxn08306_c,0.0,0.0
rxn08821_c,0.0,0.0
rxn00206_c,0.0,0.0
rxn05381_c,0.0,0.0
rxn01871_c,-1000.0,0.0
rxn05340_c,-499.99999273741895,500.0000034862602
rxn02143_c,0.0,0.0
rxn00405_c,0.0,2.0119796263611382e-07
rxn04704_c,0.0,0.0
rxn00299_c,0.0,6.035938700708386e-07
rxn08546_c,0.0,1000.0
rxn00756_c,0.0,0.0
rxn05389_c,0.0,0.0
rxn05735_c,0.0,0.0
rxn02484_c,0.0,0.0
rxn01133_c,0.0,0.0
