"","gene","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","Gene_name","GeneID","orgdb_symbol","orgdb_old_MXAN","orgdb_Name","iMat"
"1136","WP_011551581.1",53.5154232958511,0.834095813436145,0.547820419318152,1.52257160197553,0.127865919024351,0.241073610943038,"MXAN_RS07110",41358911,"MXAN_RS07110","MXAN_1465","carbon-nitrogen hydrolase family protein",0
"1137","WP_011551582.1",218.368757921329,0.961437467417011,0.370296242369778,2.59640082023009,0.00942060984457483,0.03349712200153,"MXAN_RS07115",41358912,"MXAN_RS07115","MXAN_1466","isopenicillin N synthase family oxygenase",0
"1138","WP_011551584.1",1055.77974896304,-0.602422399231041,0.41029461516914,-1.46826786645176,0.142031475841263,0.259197436696677,"MXAN_RS07125",41358914,"MXAN_RS07125","MXAN_1468","hypothetical protein",0
"1139","WP_011551586.1",5378.93118323193,0.102066019623098,0.375302138678476,0.271956935770458,0.785655131989376,0.860164268344694,"MXAN_RS07135",41358916,"MXAN_RS07135","MXAN_1470","50S ribosomal protein L27",0
"1140","WP_011551587.1",2239.13655959217,0.368132286331998,0.370889752814906,0.992565266465359,0.320921858454852,0.467640627323406,"MXAN_RS07140",41358917,"MXAN_RS07140","MXAN_1471","GTPase ObgE",0
"1141","WP_011551588.1",582.996956539841,0.766864975047458,0.345214054651997,2.22141875370781,0.026322611986545,0.074451528717255,"MXAN_RS07145",41358918,"MXAN_RS07145","MXAN_1472","TrmH family RNA methyltransferase",0
"1142","WP_011551590.1",271.205437911772,-0.630404873150507,0.312746288010308,-2.01570697181138,0.0438306261631692,0.109879218790858,"MXAN_RS07155",41358920,"MXAN_RS07155","MXAN_1474","hypothetical protein",0
"1143","WP_011551592.1",1835.49400096872,0.461153250351155,0.342594023366681,1.34606332538843,0.178282094957758,0.306083386123867,"MXAN_RS07165",41358922,"rimO","MXAN_1476","30S ribosomal protein S12 methylthiotransferase RimO",0
"1144","WP_011551593.1",989.900571524561,0.0614237745073044,0.358267068508643,0.171446889503389,0.863872388049761,0.913411085998169,"MXAN_RS07170",41358923,"MXAN_RS07170","MXAN_1477","hypothetical protein",0
"1145","WP_011551594.1",1064.00290403434,-0.51678582816487,0.366518994928096,-1.40998375341025,0.158544480206145,0.281289910685001,"MXAN_RS07175",41358924,"MXAN_RS07175","MXAN_1478","YajQ family cyclic di-GMP-binding protein",0
