reaction_id	flux_value	classification	y_f	y_r
rxn02679_c	0.0	moderate		
rxn07434_c	0.0	low	1.0	0.0
rxn01974_c	0.0	high	0.0	0.0
rxn01640_c	0.0	low	1.0	0.0
rxn00242_c	0.0	low	1.0	0.0
rxn12641_c	0.0	moderate		
rxn08971_c	1.0	high	1.0	0.0
rxn08275_c	0.0	high	0.0	0.0
rxn01635_c	0.0	high	0.0	0.0
rxn03057_c	0.0	low	1.0	0.0
rxn00060_c	0.0	low	1.0	0.0
rxn05350_c	0.0	moderate		
rxn09198_c	0.0	low	1.0	0.0
rxn08838_c	0.0	low	1.0	0.0
rxn00148_c	0.0	low	1.0	0.0
rxn01102_c	0.0	high	0.0	0.0
rxn05569_c	2.5	moderate		
rxn00100_c	0.0	low	1.0	0.0
rxn00514_c	0.0	moderate		
rxn00789_c	0.0	low	1.0	0.0
rxn05390_c	0.0	moderate		
rxn05560_c	0.0	moderate		
rxn05437_c	0.0	low	1.0	0.0
rxn08976_c	1.0	high	1.0	0.0
rxn00781_c	-1.0	high	0.0	1.0
rxn05319_c	0.0	low	1.0	0.0
rxn00881_c	0.0	low	1.0	0.0
rxn05298_c	-1.0	high	0.0	1.0
rxn06578_c	0.0	low	1.0	0.0
rxn01355_c	0.0	low	1.0	0.0
rxn10337_c	0.0			
rxn00292_c	0.0	moderate		
rxn08336_c	0.0	low	1.0	0.0
rxn05401_c	0.0	low	1.0	0.0
rxn02264_c	0.0	low	1.0	0.0
rxn10338_c	0.0			
rxn09202_c	0.0	low	1.0	0.0
rxn01451_c	-1.0	high	0.0	1.0
rxn03903_c	0.0	moderate		
rxn00097_c	-1.0	high	0.0	1.0
rxn01217_c	0.0	low	1.0	0.0
rxn02212_c	0.0	low	1.0	0.0
rxn00695_c	0.0	low	1.0	0.0
rxn00250_c	0.0	moderate		
rxn05324_c	0.0	low	1.0	0.0
rxn10481_c	0.0	low	1.0	0.0
rxn03535_c	0.0	moderate		
rxn00692_c	0.0	low	1.0	0.0
rxn01492_c	0.0	low	1.0	0.0
rxn00802_c	1.0	high	1.0	0.0
rxn08440_c	0.0	moderate		
rxn02160_c	0.0	low	1.0	0.0
rxn08802_c	0.0	low	1.0	0.0
rxn02315_c	0.0	low	1.0	0.0
rxn01825_c	0.0	low	1.0	0.0
rxn10230_c	0.0	low	1.0	0.0
rxn02720_c	0.0	moderate		
rxn00913_c	0.0	low	1.0	0.0
rxn01997_c	0.0	moderate		
rxn08809_c	0.0	low	1.0	0.0
rxn00460_c	0.0	low	1.0	0.0
rxn00171_c	0.0	low	1.0	0.0
rxn05578_c	0.0	low	1.0	0.0
rxn00178_c	-753.21429	high	0.0	1.0
rxn03264_c	0.0	high	0.0	0.0
rxn01362_c	0.0	low	1.0	0.0
rxn05329_c	0.0	moderate		
